"","Sample_ID","ssGSEA_patient_epi_score","ssGSEA_patient_mes_score","ssGSEA_cell_epi_score","ssGSEA_cell_mes_score","ssGSEA_overlap_epi_score","ssGSEA_overlap_mes_score","SingScore_TotalScore","SingScore_mes_score","SingScore_epi_score"
"1","mel001",0.148290182374656,0.600996743632679,0.21339797194373,0.656498057810734,0.0980917960136906,0.657303613338146,0.25584344115659,0.284306480393529,-0.0284630392369392
"2","mel002",0.201203860695558,0.63053590346704,0.219540619498497,0.735676500733217,0.129705479935567,0.747193563804282,0.255152527699616,0.298531910077481,-0.043379382377865
"3","mel003",0.157131412375631,0.753070547764599,0.239866714740133,0.767311286930915,0.121971394112603,0.811669335810925,0.331199271591147,0.360435323854513,-0.0292360522633663
"4","mel004",0.191001040692971,0.554197587272267,0.221421006342145,0.704658093690408,0.108070380441669,0.693394922193074,0.238353808621591,0.260565739331245,-0.0222119307096545
"5","mel005",0.0665836710129314,0.776327354420769,0.157125954284601,0.899951126345969,0.0212147187079727,0.919446028768821,0.395855135548639,0.369868053586595,0.025987081962044
"6","mel006",0.175743425041551,0.742384844872187,0.235224898656364,0.779885657059708,0.118494024718937,0.79307459688896,0.309455791130228,0.355360152322905,-0.0459043611926768
"7","mel007",0.121893118081148,0.72072051277453,0.204093486168121,0.780269657767618,0.0683002021483892,0.807958638090724,0.320685871199228,0.343753831311953,-0.0230679601127249
"8","mel008",0.14898063194057,0.632780859443358,0.188559485549408,0.807044548749088,0.0734452623239794,0.809595129271053,0.280542889546687,0.29702299517702,-0.0164801056303333
"9","mel009",0.213735144201632,0.662585139227786,0.260230840123736,0.729909202084217,0.156263940781114,0.737166727239342,0.259785063003955,0.313608989456865,-0.0538239264529098
"10","mel011",0.110072138995835,0.553697807571667,0.172001528557204,0.719131695726447,0.0465661719995937,0.751530309385011,0.268683239182249,0.259491330938748,0.00919190824350158
"11","mel012",0.169684537634743,0.618448452696984,0.212077709046594,0.749640549265469,0.129306669779135,0.787871603010817,0.253460072677201,0.29276771116921,-0.0393076384920087
"12","mel013",0.329599915392254,0.564665045380444,0.402694805822648,0.727112634731844,0.319534503631048,0.740633486779192,0.128584536654768,0.262697616291368,-0.1341130796366
"13","mel014",0.209018045740099,0.612824819332396,0.225387019883238,0.825218480041132,0.119327151995398,0.83169813554999,0.2349189348909,0.286139792940286,-0.0512208580493861
"14","mel015",0.17333087216868,0.759930319384511,0.229172682490434,0.841277449485548,0.130837375293963,0.848426145599456,0.318439631053117,0.363119439105459,-0.0446798080523422
"15","mel017",0.473723537574462,0.661594341610502,0.497583018953554,0.733183867029258,0.487565672183807,0.763148139995816,0.0931767544519273,0.313745355047083,-0.220568600595156
"16","mel018",0.220964548315927,0.512237807066569,0.215434377559245,0.641883651460869,0.129797652677247,0.653117330004448,0.172743798667548,0.239924986220511,-0.067181187552963
"17","mel019",0.139280285492959,0.632660143944991,0.170456038341554,0.741877456255082,0.0326608822406507,0.772765521434941,0.286002007039357,0.297193452164793,-0.011191445125436
"18","mel020",0.263521276312248,0.619864791556914,0.308755713561468,0.747044281023487,0.232507581722653,0.775504633662588,0.178884016213971,0.291808705333652,-0.112924689119681
"19","mel021",0.11878770482797,0.656230115918504,0.217209625973155,0.658385973044025,0.0895692792373245,0.707852748322765,0.293683601305621,0.311653074927598,-0.0179694736219774
"20","mel022",0.157453706395326,0.476559328012241,0.194494042839668,0.61519763162894,0.0986302512008662,0.629555239114522,0.199887483631593,0.221028823323767,-0.0211413396921742
"21","mel023",0.246441112769736,0.500574119840041,0.245808611997203,0.711287172525832,0.179755205505229,0.724403946037621,0.13507522941998,0.228244976971367,-0.0931697475513864
"22","mel024",0.13192258610736,0.621611447209277,0.175407593797998,0.684292997911184,0.0616817525215864,0.721714198647411,0.277302302055007,0.294652478434015,-0.0173501763790079
"23","mel025",0.176432218021773,0.582158292885077,0.168649950414476,0.724371303263134,0.0741235858138115,0.718177355828857,0.242547702744741,0.272754578569978,-0.030206875825237
"24","mel026",0.148177177470597,0.577333977892388,0.187737511954042,0.72996239280529,0.064401277569896,0.741368684169639,0.258081945628137,0.272410276629458,-0.0143283310013204
"25","mel027",0.287847540189944,0.611509297742135,0.338900936602585,0.667296620098286,0.281188232094279,0.701027737877189,0.169873225846002,0.289965652387594,-0.120092426541592
"26","mel028",0.21713667847956,0.633413814428928,0.268276771631321,0.695580635265372,0.151050959701528,0.715701704192328,0.236072898625421,0.300230762764317,-0.064157864138896
"27","mel029",0.207759718077777,0.626456267558561,0.245402450379218,0.765189437181299,0.168327652134793,0.794187142413067,0.249986883622669,0.296117138041998,-0.0461302544193288
"28","mel030",0.143535550602763,0.70078772949269,0.192109457138014,0.823411680547713,0.0605628204052175,0.833959752101896,0.314667648707202,0.332853900998158,-0.0181862522909564
"29","mel031",0.191368942881459,0.688541884917616,0.2650011960525,0.727365677055567,0.124989321412324,0.749606147683034,0.278949993353226,0.328582947652341,-0.0496329542991152
"30","mel032",0.26335954523691,0.557485868268246,0.282413149914585,0.65903735796734,0.214742130447094,0.656747468185057,0.184708007135764,0.261033066749898,-0.0763250596141339
"31","mel033",0.274063490641805,0.615230667412923,0.277376035450583,0.76427802874838,0.217190528035983,0.79175943273027,0.183278859228013,0.289562484555644,-0.106283625327631
"32","mel034",0.136901788360134,0.446370813636155,0.117247915051931,0.669053886050412,0.0506612324433937,0.691149123118852,0.199059138357202,0.204798353618421,-0.00573921526121823
"33","mel036",0.152949513691008,0.59506026501598,0.184301070591466,0.727672269619495,0.0733528826680297,0.742974022660209,0.254442259707325,0.280242616406771,-0.0258003566994462
"34","mel037",0.189070357596906,0.522511968218506,0.20529176313761,0.711723484525679,0.136485592720905,0.716641734035644,0.214029435788595,0.244683171279204,-0.0306537354906096
"35","mel038",0.320968155686463,0.465995384976096,0.356966885601581,0.687381245665316,0.301221833975815,0.673331655031485,0.0817068917548417,0.212168236176732,-0.130461344421891
"36","mel039",0.202279993811386,0.590829712014629,0.263549456469537,0.688036971875126,0.14694148895604,0.672024884311313,0.234957794891365,0.278265738844225,-0.0433079439528605
"37","mel040",0.195847090714996,0.490102064319813,0.195643088881738,0.643993230197974,0.110089274599735,0.657607852742585,0.167594316770615,0.226107806315971,-0.058513489545356
"38","mel041",0.144176674288809,0.529581845608147,0.171085175033653,0.683828692310694,0.0747970269205497,0.700853311956485,0.231437203200797,0.248218089234339,-0.0167808860335416
"39","mel042",0.284895942199927,0.448088964084553,0.282037379531188,0.701332171550289,0.236564586509473,0.701962188056299,0.0863285379415153,0.194066551066478,-0.107738013124963
"40","mel043",0.150744184459169,0.605011772927233,0.198159425675336,0.720510946019674,0.101944571915133,0.760306940520402,0.247424048355894,0.286752379357214,-0.0393283310013204
"41","mel044",0.161375443899439,0.580383093232802,0.164086480225833,0.73050082196584,0.0736024794460914,0.766462409910545,0.247663885049192,0.272827208069116,-0.025163323019924
"42","mel045",0.138694117056503,0.529325236967887,0.149819743324038,0.702681748465762,0.0819149341061472,0.729476725786786,0.21620030722029,0.244902542011295,-0.0287022347910056
"43","mel046",0.218130335428886,0.569249916620062,0.24429292767984,0.719087310684153,0.153483081932345,0.706591764470902,0.225519134741425,0.268118360250362,-0.0425992255089372
"44","mel049",0.138549866946827,0.518670571091765,0.194901507428296,0.630634864489839,0.0714082579385394,0.673587346480665,0.236242060515648,0.242940275047701,-0.00669821453205366
"45","mel050",0.164953076751324,0.57317679720742,0.185931884255005,0.699529621290458,0.0830418816332132,0.725960576062438,0.234484502099596,0.269927321798865,-0.0354428196992689
"46","mel051",0.167809713959617,0.463995203290687,0.16021596337768,0.662287184891362,0.068443057033421,0.684734690831121,0.193813102265641,0.213423688947548,-0.0196105866819068
"47","mel053",0.222447625303399,0.398702156211851,0.189423741408249,0.670893996812899,0.122101122633018,0.65959169465927,0.12852627934733,0.174328902369225,-0.0458026230218946
"48","mel054",0.130306951147261,0.607448343198009,0.183712266487837,0.705076392179931,0.0500420195032417,0.747472681589326,0.283263855879446,0.287880995189302,-0.00461713930985552
"49","mel055",0.469902439952258,0.599975280961708,0.523635723521014,0.745402233220148,0.467628371559552,0.735098921613406,0.0730157011210492,0.282061530102386,-0.209045828981337
"50","mel056",0.188135444183523,0.664364541090131,0.250928344780288,0.730944506313988,0.145184240802326,0.753891824232075,0.269311193617187,0.316718717807716,-0.0474075241905287
"51","mel057",0.0716495206248902,0.457486943635333,0.116780551300088,0.591326975402202,-0.00628915838977739,0.629246533734276,0.23538709365449,0.210204063482841,0.0251830301716494
"52","mel058",0.201355392601327,0.473000297096547,0.192352800466513,0.658560416280924,0.1053965400084,0.647948285967375,0.190623141964534,0.218913250945083,-0.0282901089805491
"53","mel059",0.219212680007967,0.689080977390223,0.27048688545659,0.751328465298248,0.168850230227068,0.777935040761467,0.257634123025792,0.328080046601458,-0.0704459235756657
"54","mel060",0.282945201447955,0.591794638082787,0.305098506952262,0.69053924476579,0.225219955788011,0.689467542304539,0.18630415618338,0.279772959762199,-0.0934688035788188
"55","mel061",0.23047935879813,0.478748173960459,0.246902375661948,0.658473518813849,0.182993660975233,0.738385222915205,0.130760572470321,0.221664490252084,-0.090903917781763
"56","mel063",0.177592036133912,0.5697011458883,0.186062017682977,0.775637014475222,0.0808588692116726,0.798952228333935,0.231293412383967,0.26412183206747,-0.0328284196835031
"57","mel064",0.310425763651538,0.510132283735405,0.29605862548846,0.65409948212615,0.269697064100751,0.660283702640781,0.121495237778617,0.235623541189925,-0.114128303411308
"58","mel065",0.162221176289793,0.685448587799634,0.203059644661673,0.78871608789795,0.070703283483942,0.796746705037733,0.295138566771516,0.326667053459335,-0.031528486687819
"59","mel067",0.214808110512437,0.545534554252104,0.217496156910253,0.671195571887942,0.162021013006605,0.738735578206502,0.195925739495501,0.256386049291926,-0.0604603097964251
"60","mel068",0.222607080469637,0.525531790986776,0.248622692430797,0.702740300816889,0.170723079309831,0.726326361338789,0.183129593938297,0.246243964393335,-0.0631143704550381
"61","mel069",0.159310043769711,0.434119692536455,0.161159876631154,0.575742574972453,0.0838191704153076,0.618517047363235,0.188751426938199,0.197458539249257,-0.0087071123110577
"62","mel070",0.166865446991993,0.69360855384209,0.228563027056206,0.778576453215228,0.126065362620663,0.786112093303976,0.288943194696025,0.330727529481118,-0.0417843347850936
"63","mel071",0.212112253691154,0.647139423870143,0.227849144370537,0.755144208775824,0.143809262534687,0.768854381889773,0.238903774036342,0.30719324253446,-0.0682894684981179
"64","mel073",0.178177196575047,0.591523959763764,0.217391573752314,0.722440116114733,0.118668433328591,0.73058384792676,0.242225907931149,0.278902888007218,-0.0366769800760696
"65","mel074",0.179515823599298,0.599153112705871,0.205356262868349,0.739785260095724,0.113199412580276,0.739354526519556,0.257848781381041,0.282603181002664,-0.0247543996216226
"66","mel076",0.210822707752251,0.593809705255838,0.231374769041538,0.801000305110091,0.137964498797805,0.806001839683988,0.225931621729924,0.273277807410708,-0.0473461856807835
"67","mel077",0.193333220961028,0.558005891152592,0.206026407361834,0.736102055216369,0.143290885895921,0.772531286327226,0.199550464719639,0.261771854862122,-0.0622213901424827
"68","mel078",0.197566800597578,0.538765706607824,0.200115666142549,0.653996748794955,0.120650256853109,0.66444911981375,0.203909631561207,0.25366403118283,-0.0497543996216226
"69","mel079",0.195399704044914,0.539914375612403,0.208051437730992,0.710168477894277,0.132693907365258,0.747761693617579,0.215906646543291,0.252249344058219,-0.0363426975149281
