"","MEblue","MEcyan","MEpink","MEturquoise","MEgrey60","MEpurple","MEred","MEyellow","MEmagenta","MEblack","MEmidnightblue","MEgreen","MElightcyan","MEtan","MEgreenyellow","MEbrown","MEsalmon","MEgrey"
"mel354",0.0213651249406733,0.0488866952387242,-0.0410509470622806,0.00660025409258155,-0.0120426603282825,-0.0356913044843378,0.0221614861373851,-0.0861624806652654,-0.0611057332314164,-0.0516863449139916,-0.0350302271446016,-0.0357609675935958,0.0160389421897912,0.0126875949243759,0.0351798871278884,0.0233302694042932,-0.00125844745089077,-0.045312618778639
"mel432",0.0446400375098055,-0.0435260204735095,-0.014845310968268,0.0203190177094216,-0.0184495744117797,-0.0198353532646478,-0.0281979255464704,0.0572223803915389,-0.000179176665907943,-0.0245975825596452,-0.0482758737461483,-0.0624993983641995,-0.0533162773676179,-0.0305771795025902,-0.0111551448444738,-0.0242090873283157,0.00305583502085094,-0.00877225634440881
"mel243",0.0290542850120432,-0.0508385251850701,-0.0739104791032985,-0.00804499284929416,0.0289260821965119,0.103280405720012,0.0562962991611069,0.045406666926242,0.0422552942950292,0.0515881593462871,0.0131502646934756,0.00408616459534022,0.0436062951053526,0.00805265809504654,-0.0160159194868997,-0.0231164832239967,0.00343102537439413,0.0344882865272751
"mel321",-0.0850681837912763,0.0221363438751,0.0421465638381937,-0.0389174185277618,-0.00570759475371067,-0.00270403093187498,0.0189655989060098,-0.0782666143194558,-0.0268996742371451,0.0248083264938833,0.0367978137344588,-0.000306353840861521,-0.00281108433525375,0.0299513265477854,0.0576968463908093,0.0565133258696889,0.0152975973213735,-0.0472149199328135
"mel218",-0.00715656046515178,0.0322177506845184,0.0598144187110498,0.0422415543865268,-0.0174900204474938,-0.0459143500846079,-0.0086280845165981,-0.0709822873187949,-0.0526882273356456,-0.0428256415095906,-0.0184586184285016,0.0448430671316605,0.0188091056367735,0.0250557416352712,0.0182338019468338,0.0122789888457355,-0.0154454931656923,-0.0895777048918938
"mel302",-0.0899028465861835,0.0273730482459134,-0.0136522963489814,-0.0507765768136785,-0.0115324999263888,0.126643457764988,0.132613674211219,0.0535164004566376,0.0224255228270363,0.0755852610964285,0.0780401748011336,-0.00975245461638071,-0.0125568123077266,-0.0121207135148429,0.000419269958230638,0.0240698728486767,0.0665120719768639,-0.0300668952926316
"mel383",-0.0396212627842253,0.0300870588265775,0.0507531577176194,-0.0153103852540039,-0.0188650355332693,-0.0219924574699652,-0.000642391863295178,-0.0428449791786788,-0.0631342559975196,-0.059304581764462,-0.0431571615155005,-0.0469265990517523,-0.0239668783773669,0.0190470215085199,0.0605073671141478,0.0637513722854941,0.0328299828773088,-0.0529635083775786
"mel428",-0.00682233775003142,0.0789558020495267,-0.00523966065614572,0.0237206068898113,0.0124793040468144,0.00497727744604758,0.0137781245393513,0.00373245870022471,0.0332394467143473,-0.00342392580963214,0.00730215755403263,-0.0252516093866858,-0.0142217140152557,-0.01218092802551,-0.0738980814310307,0.000793846495692525,0.0164129985062007,0.0350883255600299
"mel375",-0.00323793021354237,-0.0318927783851699,-0.00477534224185105,0.0335040700972622,-0.0168259173104342,0.0518719999792161,0.0896382310558871,0.00335641588887243,0.0109922231874877,-0.0214745483383576,-0.00676771067331424,0.012029991480738,-0.0848820332210468,-0.0658337428770935,-0.00598998536265904,-0.0248930658548215,0.00183942623225661,0.0230326295965732
"mel227",-0.107454166947584,0.0116746862092285,0.0399171725947668,-0.0993282233374051,0.0217003366213344,-0.0314201993838006,-0.0124571039180648,-0.0546677947793989,-0.0404835227541328,0.0159091180435516,0.0677075510484468,0.108421056268219,0.0307035786721771,0.0637091342238074,0.0640615360212324,0.129904641300928,0.074167399877316,-0.0505834419431468
