"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel084","4.720541e-09","2.241382e-02","1.472263e-01","3.800272e-09","1.356281e-01","7.345234e-03","1.515065e-07","6.873864e-01"
"mel026","1.810436e-02","2.832050e-02","1.892917e-01","6.248104e-02","1.601645e-01","1.217891e-02","2.425893e-09","5.294590e-01"
"mel353","1.022528e-05","3.015621e-02","8.460712e-02","3.109904e-07","1.565662e-01","9.945944e-03","2.042796e-08","7.187140e-01"
"mel159","1.367735e-10","1.900873e-02","1.376737e-01","2.086966e-07","1.292422e-01","1.423446e-02","3.382384e-06","6.998374e-01"
"mel199","2.613470e-02","3.053488e-02","2.074286e-01","5.982070e-07","2.040516e-01","1.258215e-02","7.805750e-10","5.192675e-01"
"mel253","5.581910e-06","2.245592e-02","1.541385e-01","4.248834e-09","1.258460e-01","1.024820e-02","1.706976e-10","6.873058e-01"
"mel123","1.911904e-09","1.455318e-02","5.394819e-02","2.754659e-06","1.274204e-01","9.856914e-03","2.233635e-06","7.942163e-01"
"mel168","1.584342e-02","2.040413e-02","2.425300e-01","5.370703e-02","1.401216e-01","1.027596e-02","1.606767e-09","5.171179e-01"
"mel108","6.999799e-02","2.271291e-02","2.359468e-01","4.706552e-02","1.439816e-01","1.113366e-02","8.095435e-10","4.691615e-01"
"mel110","9.680164e-03","1.738544e-02","2.078879e-02","3.217917e-08","8.309311e-02","1.138552e-03","2.293327e-10","8.679139e-01"
"mel078","6.639202e-02","1.603533e-02","2.760248e-01","1.160020e-01","1.241876e-01","1.119474e-02","2.598972e-09","3.901635e-01"
"mel200","2.753557e-02","2.409143e-02","2.671138e-01","1.838461e-01","1.619633e-01","1.759782e-02","8.352963e-10","3.178520e-01"
"mel079","4.247271e-03","2.203383e-02","1.721100e-01","3.226562e-07","1.380799e-01","9.510702e-03","2.690136e-09","6.540179e-01"
"mel203","4.933212e-03","2.476590e-02","2.003391e-01","2.074271e-07","1.610109e-01","1.012864e-02","3.959085e-10","5.988221e-01"
"mel360","8.120373e-03","3.236903e-02","2.513813e-01","7.885656e-02","1.704884e-01","1.336760e-02","1.709357e-09","4.454167e-01"
"mel333","3.844978e-03","2.905637e-02","7.954401e-02","3.894977e-09","1.658872e-01","1.096546e-02","1.658628e-07","7.107018e-01"
"mel115","3.697263e-05","3.136782e-02","1.838559e-01","1.528671e-07","1.885163e-01","9.065376e-03","9.336302e-10","5.871575e-01"
"mel303","4.259148e-02","2.347187e-02","2.616406e-01","7.830143e-02","1.591580e-01","1.654677e-02","4.073568e-10","4.182898e-01"
"mel371","6.499489e-02","3.613537e-02","3.256161e-01","1.108951e-01","2.332996e-01","1.490206e-02","1.062719e-10","2.141568e-01"
"mel255","8.427658e-02","2.749998e-02","2.795083e-01","1.190204e-01","2.058568e-01","1.525931e-02","6.268409e-10","2.685786e-01"
"mel392","7.487990e-02","1.770009e-02","2.837011e-01","6.542781e-02","1.248416e-01","1.270358e-02","6.156543e-10","4.207460e-01"
"mel135","1.328315e-02","2.625299e-02","2.183139e-01","4.954929e-07","1.652265e-01","1.230260e-02","6.606360e-10","5.646203e-01"
"mel282","7.268448e-02","1.659776e-02","2.563760e-01","1.428380e-01","1.055808e-01","1.382192e-02","2.490211e-09","3.921010e-01"
"mel249","8.388234e-03","2.376528e-02","1.949840e-01","2.518135e-02","1.344646e-01","1.078917e-02","1.331092e-10","6.024274e-01"
"mel318","4.220889e-02","2.335144e-02","2.513329e-01","1.374489e-01","9.244481e-02","1.520597e-02","1.426762e-09","4.380070e-01"
"mel435","1.830086e-02","3.220068e-02","3.336910e-01","1.939289e-08","2.122872e-01","1.654589e-02","5.090438e-07","3.869738e-01"
"mel405","5.880325e-02","3.135286e-02","2.522632e-01","1.598801e-01","1.997713e-01","1.651478e-02","3.352294e-10","2.814145e-01"
"mel127","5.468374e-02","2.790170e-02","2.705048e-01","1.743862e-01","1.280938e-01","1.649878e-02","7.433749e-10","3.279310e-01"
"mel101","6.394795e-02","2.047232e-02","2.244032e-01","1.378705e-01","1.331460e-01","1.353942e-02","1.883531e-11","4.066206e-01"
"mel137","8.107948e-03","1.972899e-02","2.142157e-01","1.264483e-01","1.582124e-01","1.854343e-02","3.181586e-09","4.547433e-01"
"mel085","1.343087e-01","2.119258e-02","4.280549e-01","1.566187e-01","2.051268e-01","1.391660e-02","1.766466e-11","4.078180e-02"
"mel129","9.892288e-02","2.070166e-02","3.225943e-01","1.287118e-01","1.596732e-01","1.075799e-02","9.514814e-10","2.586381e-01"
"mel379","4.952027e-09","2.369768e-02","1.625876e-01","6.589663e-02","1.625826e-01","1.383336e-02","4.555786e-07","5.714016e-01"
"mel073","1.989643e-02","2.629356e-02","2.145651e-01","7.092127e-03","1.631285e-01","1.187076e-02","2.103670e-08","5.571535e-01"
"mel452","4.430370e-07","2.082344e-02","1.647768e-01","1.581429e-06","1.509769e-01","1.118998e-02","2.007300e-04","6.520302e-01"
"mel317","2.817023e-03","2.807947e-02","2.379358e-01","1.914694e-02","1.707610e-01","1.361793e-02","5.117662e-10","5.276419e-01"
"mel099","1.812039e-06","2.583888e-02","3.139101e-02","2.981185e-10","1.211070e-01","4.577548e-03","3.935268e-09","8.170837e-01"
"mel119","4.726693e-03","2.339035e-02","2.382277e-01","5.068653e-02","1.634926e-01","1.103645e-02","2.004368e-09","5.084398e-01"
"mel156","1.003283e-01","2.031480e-02","3.575918e-01","9.617649e-02","1.858395e-01","1.310491e-02","1.134165e-10","2.266442e-01"
"mel274","2.917593e-02","9.789498e-03","2.308579e-01","1.651049e-01","8.946513e-02","1.395731e-02","1.635491e-09","4.616493e-01"
"mel113","3.190468e-06","2.174104e-02","2.581347e-01","1.118431e-01","1.508936e-01","1.592112e-02","5.224347e-11","4.414633e-01"
"mel372","1.070110e-03","1.368802e-02","2.715777e-01","9.395723e-03","1.248764e-01","1.793393e-02","1.426251e-09","5.614581e-01"
"mel431","7.977953e-02","1.742166e-02","3.176159e-01","7.236323e-02","1.543392e-01","1.002531e-02","3.612553e-09","3.484552e-01"
"mel361","6.612199e-02","2.701453e-02","2.961717e-01","2.342263e-01","1.491202e-01","1.842009e-02","1.785352e-09","2.089252e-01"
"mel322","3.573610e-02","2.504505e-02","3.126627e-01","1.471036e-01","1.430438e-01","1.654768e-02","5.688101e-10","3.198610e-01"
"mel263","6.211775e-02","2.448297e-02","2.622108e-01","5.905937e-02","1.338554e-01","1.336439e-02","7.911911e-10","4.449094e-01"
"mel003","8.955805e-02","2.656061e-02","3.889769e-01","1.956444e-01","1.987777e-01","1.536371e-02","1.378513e-10","8.511870e-02"
"mel337","2.739025e-02","1.744185e-02","2.409160e-01","5.531439e-02","1.174820e-01","1.755254e-02","2.288193e-09","5.239030e-01"
"mel006","9.747411e-02","2.602567e-02","3.463199e-01","1.368728e-01","1.972655e-01","1.376999e-02","9.353833e-10","1.822720e-01"
"mel258","8.296031e-02","1.634749e-02","2.718536e-01","1.081753e-01","1.458338e-01","1.366507e-02","1.559528e-08","3.611644e-01"
"mel109","2.853908e-08","2.389942e-02","2.432764e-01","9.804549e-02","1.406436e-01","1.802315e-02","7.456452e-05","4.760373e-01"
"mel236","8.752149e-02","2.242737e-02","2.909963e-01","1.707261e-01","1.700151e-01","1.481547e-02","3.154754e-10","2.434982e-01"
"mel404","2.625560e-02","2.205493e-02","2.384109e-01","1.444445e-01","1.229037e-01","1.779854e-02","3.797799e-10","4.281317e-01"
"mel276","4.397972e-02","1.425559e-02","2.674140e-01","1.183734e-01","1.148393e-01","1.584762e-02","1.913882e-10","4.252903e-01"
"mel045","2.582006e-02","1.513250e-02","2.316846e-01","1.683246e-06","1.502834e-01","1.296696e-02","1.046793e-10","5.641109e-01"
"mel050","5.043129e-02","1.897417e-02","2.402227e-01","1.344353e-01","1.103831e-01","1.608499e-02","1.712935e-08","4.294684e-01"
"mel394","5.836071e-09","1.726646e-02","1.785106e-01","9.913802e-02","1.429048e-01","1.533863e-02","2.025278e-09","5.468415e-01"
"mel244","7.010966e-03","2.767500e-02","2.208543e-01","3.068445e-02","1.859508e-01","1.124009e-02","6.740601e-11","5.165844e-01"
"mel007","9.005288e-02","2.621004e-02","3.593041e-01","1.504243e-01","1.507726e-01","1.622692e-02","2.621643e-07","2.070089e-01"
"mel385","2.735972e-02","1.161240e-02","1.470763e-01","7.072398e-02","1.042302e-01","1.400036e-02","4.891405e-10","6.249971e-01"
"mel437","1.106006e-02","1.488511e-02","1.721730e-01","2.807220e-02","9.842105e-02","8.356877e-03","9.674815e-10","6.670317e-01"
"mel335","3.128649e-02","3.065818e-02","2.526703e-01","1.375842e-01","1.439283e-01","1.767698e-02","6.003319e-10","3.861955e-01"
"mel128","8.307685e-02","2.072077e-02","2.966017e-01","9.417440e-02","1.431945e-01","1.234514e-02","1.126869e-08","3.498866e-01"
"mel340","1.855427e-02","2.168272e-02","2.659529e-01","1.097810e-02","1.813720e-01","1.984200e-02","5.792167e-10","4.816180e-01"
"mel170","4.221806e-02","1.360802e-02","2.243082e-01","1.016561e-01","9.933110e-02","1.519238e-02","1.477640e-09","5.036862e-01"
"mel023","4.239971e-09","1.362837e-02","1.246121e-02","8.944940e-10","1.106252e-01","7.910058e-03","3.329558e-06","8.553718e-01"
"mel178","4.338374e-02","1.536159e-02","2.250892e-01","1.209676e-01","1.061848e-01","1.585737e-02","2.903761e-10","4.731556e-01"
"mel313","1.237547e-09","2.658756e-02","2.058442e-01","8.996919e-02","1.488437e-01","1.543877e-02","1.599144e-09","5.133165e-01"
"mel207","6.753043e-06","1.931586e-02","1.006307e-01","4.818213e-02","9.429244e-02","9.901537e-03","1.208256e-09","7.276706e-01"
"mel138","1.791292e-02","1.826065e-02","1.801340e-01","2.519654e-05","1.412249e-01","1.143691e-02","4.887881e-10","6.310055e-01"
"mel100","3.166164e-02","3.081815e-02","2.154930e-01","4.090412e-02","1.683082e-01","1.212160e-02","8.881338e-10","5.006933e-01"
"mel352","1.097287e-06","2.755620e-02","2.312656e-01","2.587451e-02","1.235126e-01","1.338019e-02","5.758009e-08","5.784098e-01"
"mel002","4.633967e-02","2.636422e-02","2.230593e-01","1.212179e-01","1.561337e-01","1.454023e-02","2.535559e-10","4.123450e-01"
"mel386","7.868993e-09","2.048520e-02","1.359397e-01","5.910326e-02","1.076337e-01","9.333005e-03","1.351897e-09","6.675051e-01"
"mel331","1.341421e-09","1.123405e-02","6.527710e-02","6.959184e-09","7.876418e-02","7.002532e-03","1.018314e-06","8.377211e-01"
"mel406","3.989491e-02","2.524812e-02","2.442618e-01","1.217071e-01","7.233729e-02","1.376885e-02","1.308513e-10","4.827819e-01"
"mel030","3.232003e-09","2.714680e-02","2.740104e-01","3.213661e-06","1.556405e-01","1.703132e-02","9.589985e-10","5.261678e-01"
"mel179","1.047825e-01","1.751853e-02","3.681566e-01","1.477270e-01","1.527424e-01","1.600207e-02","1.001221e-10","1.930708e-01"
"mel139","7.103409e-02","3.074592e-02","2.619823e-01","1.885699e-01","1.889128e-01","1.592546e-02","3.785722e-10","2.428295e-01"
"mel272","8.922405e-02","2.674718e-02","3.217298e-01","1.782646e-01","1.927432e-01","1.777001e-02","7.838377e-10","1.735212e-01"
"mel311","1.610376e-08","1.960259e-02","2.837236e-01","8.664213e-03","1.172963e-01","1.592367e-02","1.429390e-07","5.547895e-01"
"mel070","2.230829e-02","2.797793e-02","2.513919e-01","1.393307e-01","1.715392e-01","1.375123e-02","6.340148e-10","3.737008e-01"
"mel173","1.139132e-02","2.387481e-02","2.836141e-01","2.260642e-09","1.402033e-01","9.467020e-03","1.657414e-09","5.314495e-01"
"mel387","2.889786e-08","2.456172e-02","2.487901e-01","1.239318e-01","1.322167e-01","1.897024e-02","1.307018e-10","4.515294e-01"
"mel001","1.006166e-01","2.228200e-02","3.184658e-01","1.486521e-01","1.658658e-01","1.601649e-02","1.873212e-09","2.281012e-01"
"mel390","3.015347e-02","2.948146e-02","3.310456e-01","1.554467e-01","2.158266e-01","1.748792e-02","1.712082e-09","2.205581e-01"
"mel033","3.970826e-06","2.776805e-02","1.772121e-01","1.337625e-05","1.469297e-01","1.102541e-02","1.307838e-09","6.370473e-01"
"mel323","3.532120e-02","2.994854e-02","2.355633e-01","7.341369e-02","1.755321e-01","1.431985e-02","3.968694e-10","4.359013e-01"
"mel290","1.555657e-02","2.421475e-02","2.271174e-01","6.292385e-04","1.283718e-01","1.221934e-02","5.120965e-08","5.918909e-01"
"mel151","2.601697e-07","2.971029e-02","1.926873e-01","2.294161e-02","1.759584e-01","1.411031e-02","5.738130e-11","5.645918e-01"
"mel193","2.145779e-07","2.456523e-02","2.210020e-01","4.403012e-02","1.346312e-01","1.120412e-02","7.160773e-10","5.645671e-01"
"mel430","2.505123e-08","2.939541e-02","2.466607e-01","1.502768e-01","1.451092e-01","1.559884e-02","2.070667e-09","4.129591e-01"
"mel455","6.084897e-02","3.184442e-02","2.655866e-01","1.204289e-01","2.015465e-01","2.163446e-02","1.921535e-09","2.981102e-01"
"mel449","7.116637e-09","2.825003e-02","5.468257e-02","1.978213e-09","1.073815e-01","6.348878e-03","3.470056e-05","8.033023e-01"
"mel465","1.171252e-02","2.195741e-02","2.801275e-01","2.119546e-02","1.763911e-01","1.609150e-02","1.910113e-09","4.725245e-01"
"mel345","1.279410e-01","2.205658e-02","4.362586e-01","1.143442e-01","1.899582e-01","1.403149e-02","3.652409e-10","9.540997e-02"
"mel469","3.962038e-04","2.562801e-02","2.671184e-01","1.194619e-01","1.632763e-01","1.534999e-02","1.471257e-08","4.087691e-01"
"mel467","7.292217e-07","2.798693e-02","2.259586e-01","1.543212e-02","1.847973e-01","1.742491e-02","1.209233e-09","5.283995e-01"
"mel460","6.215179e-03","2.086911e-02","1.288756e-01","6.057605e-02","9.998457e-02","1.354163e-02","1.181570e-09","6.699378e-01"
"mel042","1.336262e-08","1.165715e-02","2.610146e-02","3.325604e-05","1.592347e-01","5.426410e-03","1.574430e-03","7.959725e-01"
"mel027","6.748901e-02","2.711011e-02","2.294369e-01","1.209685e-01","1.343959e-01","1.315382e-02","6.618052e-08","4.074458e-01"
"mel456","6.569075e-02","1.367980e-02","2.141392e-01","1.264791e-01","1.530585e-01","1.229856e-02","1.280954e-10","4.146540e-01"
"mel468","4.315677e-03","2.322743e-02","2.972324e-01","1.653777e-01","1.078139e-01","1.584577e-02","3.672703e-09","3.861871e-01"
"mel462","3.185387e-02","2.535138e-02","2.776674e-01","2.048132e-01","1.724679e-01","1.621027e-02","3.486716e-09","2.716359e-01"
"mel059","5.508523e-02","2.722600e-02","2.429298e-01","4.454290e-08","1.371823e-01","1.577929e-02","5.841086e-10","5.217974e-01"
"mel087","1.222215e-02","1.851672e-02","1.553039e-01","7.521233e-02","1.460807e-01","1.128334e-02","3.553728e-10","5.813809e-01"
"mel120","6.546247e-10","2.471407e-02","1.740466e-01","2.942542e-02","1.307459e-01","1.480532e-02","1.391457e-04","6.261235e-01"
"mel019","9.399717e-03","1.898394e-02","1.861078e-01","4.165360e-08","1.415274e-01","1.125986e-02","4.286788e-10","6.327213e-01"
"mel334","4.608698e-02","2.314352e-02","2.697336e-01","1.568896e-01","1.803692e-01","1.803089e-02","2.919793e-09","3.057463e-01"
"mel190","5.225995e-09","2.474785e-02","2.020306e-01","2.101690e-07","1.650695e-01","1.289671e-02","6.254949e-04","5.946296e-01"
"mel426","5.517500e-03","2.297932e-02","2.110212e-01","9.594395e-02","1.006097e-01","1.334021e-02","1.764460e-10","5.505882e-01"
"mel196","2.528900e-02","1.785351e-02","2.004116e-01","1.183528e-01","9.659341e-02","1.280773e-02","9.286178e-10","5.286919e-01"
"mel009","9.177382e-03","2.264566e-02","3.081240e-01","1.903487e-01","1.009239e-01","1.803765e-02","1.793099e-09","3.507427e-01"
"mel174","2.098804e-09","3.181546e-02","2.420011e-01","1.969075e-02","1.766787e-01","1.204915e-02","3.644451e-09","5.177649e-01"
"mel389","1.044845e-06","2.219095e-02","1.386707e-01","7.672485e-08","1.005925e-01","1.005882e-02","1.227314e-08","7.284859e-01"
"mel246","1.244270e-08","2.484940e-02","2.408951e-01","1.070658e-01","1.378129e-01","1.587492e-02","7.437403e-10","4.735019e-01"
"mel219","6.667266e-02","1.882643e-02","2.798602e-01","1.530574e-01","1.262890e-01","1.509484e-02","2.988055e-10","3.401995e-01"
"mel309","1.809178e-08","1.954141e-02","9.409385e-02","3.836295e-09","9.948251e-02","1.241526e-02","4.799174e-06","7.744621e-01"
"mel285","3.048111e-02","3.148946e-02","3.134858e-01","7.906578e-02","1.784510e-01","1.709019e-02","3.527220e-10","3.499367e-01"
"mel292","8.043558e-02","2.332587e-02","3.143268e-01","2.505398e-01","9.879543e-02","1.963308e-02","1.824094e-11","2.129435e-01"
"mel232","2.452040e-02","1.539605e-02","1.724746e-01","7.356794e-02","1.283904e-01","1.303231e-02","5.632448e-10","5.726183e-01"
"mel307","1.438657e-02","1.810876e-02","1.436017e-01","9.750063e-07","1.766412e-01","1.038912e-02","1.818083e-10","6.368717e-01"
"mel098","8.548332e-02","2.263629e-02","4.051395e-01","1.135713e-01","1.661134e-01","1.525930e-02","5.412836e-10","1.917968e-01"
"mel067","3.729489e-02","2.141041e-02","2.283770e-01","8.676222e-03","1.533445e-01","1.043714e-02","5.350112e-10","5.404598e-01"
"mel400","3.524342e-03","2.859080e-02","1.835921e-01","5.067688e-04","1.733677e-01","1.616247e-02","2.092896e-09","5.942558e-01"
"mel187","8.095358e-10","3.433895e-02","8.183989e-02","6.074720e-08","1.941392e-01","1.013689e-02","7.975345e-07","6.795442e-01"
"mel024","2.906405e-02","1.922571e-02","2.456895e-01","1.402373e-01","1.570498e-01","1.524574e-02","3.202084e-10","3.934880e-01"
"mel083","1.184453e-05","2.675566e-02","2.072683e-01","2.932494e-06","1.402503e-01","9.196588e-03","5.138500e-09","6.165144e-01"
"mel155","9.589758e-02","2.445871e-02","3.723570e-01","1.008433e-01","1.676000e-01","1.383042e-02","5.776465e-10","2.250130e-01"
"mel286","3.569447e-03","2.992465e-02","2.146746e-01","9.114605e-03","2.048190e-01","1.418644e-02","1.380639e-09","5.237112e-01"
"mel316","3.437796e-02","2.211749e-02","1.993204e-01","5.671502e-02","1.384064e-01","1.161418e-02","7.448249e-10","5.374486e-01"
"mel423","6.428900e-03","2.825202e-02","2.715426e-01","2.870304e-02","1.929987e-01","1.455148e-02","1.016577e-09","4.575233e-01"
"mel209","5.444802e-09","2.540064e-02","2.114318e-01","3.145861e-08","1.099605e-01","1.150723e-02","4.666854e-03","6.370330e-01"
"mel446","5.098486e-10","2.753138e-02","1.226879e-01","4.771761e-09","1.371035e-01","8.672391e-03","3.089745e-06","7.040017e-01"
"mel086","2.166751e-09","3.190050e-02","1.313594e-01","1.843706e-02","1.890798e-01","1.051353e-02","2.118837e-06","6.187076e-01"
"mel195","3.177047e-08","1.625136e-02","1.073505e-01","4.101850e-05","1.206071e-01","9.418027e-03","2.489246e-08","7.463319e-01"
"mel090","5.906801e-02","2.683029e-02","2.863374e-01","1.001741e-01","1.717201e-01","1.593931e-02","2.688095e-10","3.399307e-01"
"mel445","1.472211e-02","1.860468e-02","1.799956e-01","5.910923e-02","1.222136e-01","1.168970e-02","1.921961e-09","5.936651e-01"
"mel296","9.051776e-10","2.206192e-02","8.761364e-02","3.870817e-08","1.237932e-01","7.205327e-03","1.274540e-05","7.593131e-01"
"mel094","4.215863e-09","2.706097e-02","2.044240e-01","1.273744e-01","1.542065e-01","1.490447e-02","9.004173e-10","4.720297e-01"
"mel233","2.604310e-08","1.764454e-02","1.756034e-01","5.526462e-08","9.916157e-02","1.013984e-02","1.163194e-09","6.974505e-01"
"mel349","5.527947e-02","2.454226e-02","3.036044e-01","7.114301e-02","1.939364e-01","1.357281e-02","4.080649e-10","3.379216e-01"
"mel095","4.750313e-09","2.532217e-02","2.266469e-01","4.213645e-02","1.504458e-01","9.139787e-03","1.080103e-05","5.462980e-01"
"mel463","5.607649e-09","2.993671e-02","2.642877e-01","5.164559e-08","1.545148e-01","1.338771e-02","1.526122e-05","5.378578e-01"
"mel043","6.226132e-02","2.204426e-02","3.037357e-01","1.234139e-01","1.525799e-01","1.418367e-02","4.673959e-10","3.217812e-01"
"mel041","7.082228e-09","1.925049e-02","2.893116e-02","1.718810e-08","1.817633e-01","1.549854e-02","1.321796e-05","7.545433e-01"
"mel081","8.676502e-02","1.856506e-02","2.638638e-01","1.346004e-01","1.124293e-01","1.515421e-02","2.580488e-10","3.686222e-01"
"mel453","4.649532e-09","2.347950e-02","5.098220e-02","1.349724e-07","1.833886e-01","9.098995e-03","3.001278e-04","7.327505e-01"
"mel061","4.708722e-08","1.829504e-02","1.294184e-01","2.632720e-09","1.232222e-01","7.157824e-03","4.891448e-09","7.219065e-01"
"mel470","2.136478e-09","1.947233e-02","5.172282e-02","8.247745e-06","1.200809e-01","6.189400e-03","1.523733e-06","8.025248e-01"
"mel388","8.754055e-03","2.320039e-02","1.863502e-01","9.907198e-09","1.509037e-01","1.650279e-02","2.966897e-06","6.142859e-01"
"mel454","5.206418e-09","3.067865e-02","1.942798e-01","9.084258e-02","2.031078e-01","1.397023e-02","2.235703e-09","4.671209e-01"
"mel167","1.306770e-07","2.572947e-02","8.558790e-02","1.001180e-08","1.515812e-01","1.042465e-02","2.536512e-08","7.266766e-01"
"mel312","8.767694e-02","2.299881e-02","3.752690e-01","1.404223e-01","2.466694e-01","1.238536e-02","1.603982e-10","1.145781e-01"
"mel293","3.317527e-05","2.029974e-02","1.256151e-01","3.016392e-05","1.771456e-01","9.488724e-03","2.371634e-07","6.673873e-01"
"mel419","3.736017e-07","2.698286e-02","1.018298e-01","3.039617e-08","1.542777e-01","8.127710e-03","8.898850e-10","7.087816e-01"
"mel111","2.764217e-09","2.594786e-02","2.083358e-01","4.074347e-02","1.521252e-01","9.358697e-03","3.687215e-08","5.634890e-01"
"mel365","2.338501e-02","2.793831e-02","1.565765e-01","7.890399e-02","1.921424e-01","1.218604e-02","1.490631e-09","5.088678e-01"
"mel391","1.353760e-02","1.453377e-02","1.620817e-01","2.967924e-02","1.063258e-01","8.891974e-03","4.236572e-09","6.649499e-01"
"mel088","5.552932e-02","2.839918e-02","2.689981e-01","1.859612e-02","1.623039e-01","1.042049e-02","6.853401e-10","4.557529e-01"
"mel295","6.200797e-02","2.287437e-02","2.335434e-01","7.422094e-02","1.375460e-01","1.243695e-02","1.478763e-10","4.573703e-01"
"mel234","3.279543e-03","1.801319e-02","1.798495e-01","3.977380e-07","1.138399e-01","9.774769e-03","1.286978e-09","6.752427e-01"
"mel241","1.071433e-01","1.991314e-02","3.756156e-01","1.106835e-01","1.463661e-01","1.222637e-02","2.143462e-09","2.280520e-01"
"mel269","2.531349e-10","2.443336e-02","1.510974e-01","3.614047e-06","1.621120e-01","9.692993e-03","4.412169e-09","6.526607e-01"
"mel231","2.683121e-12","3.122536e-02","2.982615e-01","6.756865e-02","1.790417e-01","1.724969e-02","3.621336e-09","4.066530e-01"
"mel211","8.057653e-02","1.755216e-02","3.239361e-01","1.975205e-01","1.304837e-01","1.905369e-02","4.041585e-09","2.308773e-01"
"mel291","3.129094e-02","2.114905e-02","2.535766e-01","9.846585e-02","1.649740e-01","1.339027e-02","1.614715e-09","4.171533e-01"
"mel384","1.011923e-01","2.516734e-02","3.435493e-01","9.502404e-02","1.384384e-01","1.625090e-02","2.770155e-09","2.803776e-01"
"mel102","8.684015e-04","1.654574e-02","9.009937e-02","6.944568e-08","8.600334e-02","1.407445e-02","1.711259e-09","7.924086e-01"
"mel071","1.209905e-06","3.111767e-02","2.667819e-01","2.748286e-02","1.596639e-01","1.285632e-02","8.916919e-10","5.020961e-01"
"mel284","1.242267e-02","2.562179e-02","1.413551e-01","1.320855e-01","1.514166e-01","1.361034e-02","4.303752e-10","5.234880e-01"
"mel051","8.223494e-06","2.023294e-02","6.406355e-02","2.682043e-06","1.047582e-01","1.070022e-02","2.916670e-07","8.002339e-01"
"mel358","2.348339e-06","2.595589e-02","3.102623e-01","1.849972e-02","1.548980e-01","1.816198e-02","6.043915e-10","4.722197e-01"
"mel205","5.764489e-02","2.637848e-02","2.921846e-01","1.446298e-01","1.276719e-01","1.986253e-02","6.545974e-11","3.316277e-01"
"mel176","5.107714e-02","1.875946e-02","2.468958e-01","5.902301e-03","1.150964e-01","1.082996e-02","4.474375e-08","5.514389e-01"
"mel161","3.361412e-06","1.483603e-02","1.644051e-01","3.014579e-05","1.193108e-01","1.295165e-02","3.146307e-09","6.884629e-01"
"mel022","4.083103e-02","1.785600e-02","2.556482e-01","6.671400e-03","1.312210e-01","8.122927e-03","4.289911e-10","5.396494e-01"
"mel278","4.765976e-07","1.980324e-02","2.524445e-01","1.324366e-01","1.144564e-01","1.157183e-02","1.141936e-09","4.692870e-01"
"mel299","1.112775e-03","1.807679e-02","5.074150e-02","5.041447e-09","9.996646e-02","7.368163e-03","4.034808e-06","8.227303e-01"
"mel169","2.732706e-07","2.199391e-02","2.031958e-01","1.417756e-07","1.367107e-01","1.031885e-02","1.617878e-07","6.277802e-01"
"mel053","6.094248e-08","1.578208e-02","1.735673e-08","5.865056e-08","1.514725e-01","3.913181e-03","1.497596e-06","8.288306e-01"
"mel366","1.713663e-02","1.634468e-02","9.344283e-02","3.614984e-02","1.586725e-01","7.694387e-03","1.380644e-09","6.705591e-01"
"mel153","1.225753e-02","1.847733e-02","1.898261e-01","4.051168e-06","1.094387e-01","1.534911e-02","3.037358e-10","6.546471e-01"
"mel031","8.530786e-02","2.368857e-02","3.405565e-01","1.335493e-01","1.834171e-01","1.413221e-02","1.735354e-09","2.193485e-01"
"mel464","3.805107e-02","1.938426e-02","3.207690e-01","2.320732e-01","1.136024e-01","1.969617e-02","2.737309e-09","2.564239e-01"
"mel141","2.584421e-06","1.948842e-02","1.394852e-01","1.024748e-08","1.025470e-01","1.666206e-02","4.794325e-11","7.218148e-01"
"mel202","7.602872e-02","2.672803e-02","2.326318e-01","1.356978e-01","1.689613e-01","1.646340e-02","8.942056e-10","3.434890e-01"
"mel064","4.521978e-02","1.997575e-02","1.997202e-01","1.236359e-01","9.193607e-02","1.447562e-02","7.479053e-10","5.050367e-01"
"mel350","5.864033e-02","2.151065e-02","2.243040e-01","9.666216e-02","1.743120e-01","1.686403e-02","1.766889e-10","4.077069e-01"
"mel044","2.263010e-02","1.998556e-02","2.103957e-01","8.204264e-02","1.697599e-01","1.403169e-02","1.695064e-10","4.811545e-01"
"mel401","6.124629e-03","1.758926e-02","1.330209e-01","6.740834e-02","1.665989e-01","1.169319e-02","2.578783e-10","5.975648e-01"
"mel230","1.075129e-02","1.982180e-02","2.308539e-01","1.536531e-01","7.983195e-02","1.427328e-02","1.852670e-09","4.908147e-01"
"mel377","4.426670e-03","2.356235e-02","2.597763e-01","9.772751e-02","1.559407e-01","1.309618e-02","6.280022e-10","4.454703e-01"
"mel150","1.571273e-08","3.300006e-02","2.366997e-01","1.424221e-02","1.771706e-01","1.196407e-02","2.857990e-10","5.269233e-01"
"mel037","8.439298e-07","2.838519e-02","1.181600e-01","5.845367e-08","1.648062e-01","1.156860e-02","3.566831e-11","6.770791e-01"
"mel124","3.291074e-02","2.454318e-02","3.071827e-01","8.868957e-02","1.174245e-01","1.102835e-02","6.943938e-10","4.182210e-01"
"mel393","1.454264e-02","1.544478e-02","1.640492e-01","7.007827e-02","9.213343e-02","1.141167e-02","9.843002e-08","6.323399e-01"
"mel158","1.692393e-09","2.608405e-02","3.151952e-01","3.577081e-02","1.641303e-01","1.553090e-02","1.555791e-08","4.432887e-01"
