"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel280","4.442298e-02","2.076632e-02","1.475322e-01","8.510551e-09","1.231329e-01","7.713756e-03","9.075191e-10","6.564318e-01"
"mel012","7.785823e-02","1.937530e-02","2.535844e-01","1.325488e-01","1.342083e-01","1.441834e-02","3.683666e-09","3.680067e-01"
"mel025","7.299109e-03","2.336677e-02","1.995929e-01","1.347272e-07","1.325193e-01","1.140679e-02","1.874988e-09","6.258150e-01"
"mel338","3.355607e-02","2.128255e-02","2.639345e-01","2.062926e-01","1.579045e-01","1.447982e-02","8.382920e-10","3.025500e-01"
"mel228","1.703927e-02","2.662080e-02","1.582243e-01","7.029649e-08","1.946268e-01","1.364720e-02","5.618878e-10","5.898415e-01"
"mel304","7.053310e-02","2.580071e-02","2.180466e-01","1.288958e-01","1.700418e-01","1.376090e-02","9.156383e-10","3.729211e-01"
"mel344","4.259025e-02","2.307022e-02","2.704498e-01","1.719619e-01","1.529274e-01","1.656005e-02","2.785379e-09","3.224403e-01"
"mel225","3.640678e-02","2.267352e-02","2.356071e-01","1.222149e-01","1.295153e-01","1.538931e-02","5.587739e-10","4.381931e-01"
"mel140","6.590902e-02","3.099198e-02","2.776481e-01","1.327834e-01","2.338175e-01","1.264567e-02","1.628814e-08","2.462043e-01"
"mel118","2.938232e-09","2.817406e-02","1.647439e-01","5.399696e-08","1.757175e-01","1.231361e-02","3.896027e-06","6.190470e-01"
"mel328","1.002533e-02","2.018605e-02","2.895510e-01","8.874269e-02","1.561926e-01","1.900948e-02","4.859324e-10","4.162929e-01"
"mel466","4.700507e-02","2.613886e-02","2.875054e-01","2.497036e-01","1.631343e-01","1.803844e-02","3.155058e-11","2.084744e-01"
"mel020","9.899188e-08","2.688439e-02","1.415986e-01","3.885242e-08","1.466592e-01","1.273529e-02","1.896935e-08","6.721224e-01"
"mel364","5.635980e-02","2.095911e-02","2.126260e-01","1.365805e-01","1.482197e-01","1.567219e-02","4.343919e-10","4.095827e-01"
"mel056","9.407490e-02","2.241361e-02","3.285039e-01","9.198960e-02","1.716038e-01","1.535172e-02","3.518199e-10","2.760625e-01"
"mel034","6.456183e-10","1.855928e-02","9.991608e-03","3.425311e-08","1.464740e-01","5.395928e-03","1.292875e-06","8.195778e-01"
"mel238","1.445829e-06","2.166663e-02","1.598051e-01","2.387526e-08","1.295816e-01","1.007371e-02","1.416289e-09","6.788715e-01"
"mel294","7.788035e-02","2.491363e-02","2.705860e-01","1.682405e-01","1.688580e-01","1.575688e-02","4.462205e-11","2.737646e-01"
"mel451","3.023686e-02","3.014877e-02","2.498734e-01","3.016973e-02","1.612836e-01","1.256907e-02","2.991930e-10","4.857186e-01"
"mel287","1.465904e-08","2.284889e-02","1.984923e-01","5.082201e-06","1.421186e-01","1.342823e-02","9.652689e-09","6.231069e-01"
"mel343","5.235149e-02","2.773764e-02","2.620189e-01","2.283006e-01","1.602339e-01","2.040949e-02","3.165216e-09","2.489479e-01"
"mel320","8.826555e-11","2.730887e-02","1.674929e-01","8.527456e-02","1.251623e-01","1.159487e-02","1.260289e-05","5.831539e-01"
"mel395","1.351485e-01","2.054820e-02","4.114462e-01","1.219480e-01","1.535115e-01","1.414832e-02","2.727702e-09","1.432493e-01"
"mel378","5.978151e-02","2.417548e-02","2.899499e-01","1.884218e-01","1.288906e-01","1.605547e-02","1.869428e-09","2.927252e-01"
"mel252","8.032141e-02","1.258076e-02","2.025156e-01","7.371602e-02","1.341532e-01","1.499960e-02","9.484378e-10","4.817134e-01"
"mel336","4.836222e-02","1.677202e-02","2.507848e-01","3.926779e-02","1.233900e-01","1.760266e-02","1.571450e-09","5.038205e-01"
"mel301","5.574536e-10","2.242768e-02","3.121684e-02","5.662430e-08","1.310304e-01","3.620164e-03","3.309019e-10","8.117049e-01"
"mel457","5.722025e-02","1.929573e-02","2.640532e-01","4.335485e-02","9.843429e-02","1.045357e-02","1.148727e-09","5.071881e-01"
"mel093","4.649874e-08","2.485057e-02","5.319104e-02","2.513554e-07","1.195936e-01","9.508526e-03","4.671510e-05","7.928092e-01"
"mel254","2.132820e-02","2.603836e-02","2.278910e-01","9.061630e-02","1.450328e-01","1.167744e-02","2.182657e-09","4.774158e-01"
"mel074","1.454002e-08","2.378765e-02","2.491711e-01","9.125789e-02","1.228500e-01","1.673313e-02","9.228997e-10","4.962002e-01"
"mel065","8.404156e-02","2.470520e-02","3.235785e-01","8.451962e-02","1.370889e-01","1.342352e-02","1.622868e-10","3.326428e-01"
"mel029","9.106743e-07","2.276987e-02","1.616689e-01","1.012904e-01","1.586739e-01","1.446520e-02","6.002164e-11","5.411308e-01"
"mel069","3.795522e-09","2.349101e-02","5.196342e-02","4.742247e-08","1.095301e-01","7.233148e-03","2.680499e-09","8.077823e-01"
"mel411","1.158642e-02","2.173156e-02","2.122003e-01","1.113744e-01","1.344701e-01","1.375394e-02","2.073379e-11","4.948833e-01"
"mel277","7.771948e-02","2.944186e-02","2.758808e-01","1.402508e-01","1.887404e-01","1.305310e-02","1.777540e-09","2.749136e-01"
"mel300","2.255478e-02","2.032016e-02","2.185909e-01","3.011281e-08","1.346848e-01","1.164899e-02","7.326503e-09","5.922003e-01"
"mel376","8.859470e-02","1.819878e-02","3.599281e-01","1.631543e-01","1.355408e-01","1.513609e-02","1.432764e-09","2.194472e-01"
"mel005","8.053216e-03","2.909772e-02","2.758375e-01","8.425569e-02","2.051821e-01","1.271882e-02","1.654998e-10","3.848550e-01"
"mel107","2.718943e-08","3.220552e-02","1.534522e-01","8.933112e-08","2.056162e-01","1.147151e-02","9.066242e-05","5.971638e-01"
"mel283","3.988890e-02","2.072504e-02","2.586571e-01","2.071596e-01","1.099948e-01","1.783790e-02","1.082287e-09","3.457367e-01"
"mel417","2.589375e-09","1.712481e-02","8.706177e-02","4.828368e-08","1.183757e-01","6.535185e-03","1.727021e-05","7.708852e-01"
"mel297","6.516783e-09","2.347917e-02","6.813213e-03","1.254063e-08","1.642066e-01","5.572291e-03","7.538023e-07","7.999279e-01"
"mel326","6.506857e-02","2.152865e-02","2.422920e-01","8.078320e-02","1.164071e-01","1.298157e-02","1.228716e-09","4.609389e-01"
"mel040","6.594533e-07","1.908785e-02","1.066233e-01","2.545346e-02","1.276992e-01","7.770510e-03","2.916608e-09","7.133650e-01"
"mel382","7.966203e-03","2.180057e-02","2.004655e-01","1.540331e-02","1.309844e-01","1.261570e-02","4.946141e-10","6.107644e-01"
"mel275","9.841629e-05","1.853119e-02","9.772335e-02","1.503755e-07","1.537904e-01","1.090630e-02","3.461167e-09","7.189502e-01"
"mel396","6.007514e-02","1.215549e-02","2.549704e-01","1.509741e-01","1.008576e-01","1.638738e-02","1.998952e-09","4.045799e-01"
"mel325","5.692589e-02","2.388394e-02","2.063090e-01","1.495494e-01","1.278348e-01","1.607655e-02","7.228911e-10","4.194204e-01"
"mel409","9.041926e-02","2.551564e-02","2.594389e-01","7.996950e-02","1.631592e-01","1.370765e-02","5.085839e-10","3.677899e-01"
"mel103","3.870776e-02","2.437456e-02","2.536446e-01","8.916764e-02","1.182778e-01","1.337806e-02","3.588047e-10","4.624496e-01"
"mel208","2.894382e-07","2.535302e-02","1.927519e-01","6.382283e-08","1.337177e-01","1.237709e-02","8.051218e-11","6.357999e-01"
"mel273","1.254428e-07","2.619115e-02","1.787290e-01","4.701919e-02","1.060579e-01","1.357469e-02","2.683816e-04","6.281596e-01"
"mel052","3.576568e-09","2.248822e-02","2.193752e-01","3.681196e-08","1.363297e-01","1.712864e-02","3.186748e-07","6.046779e-01"
"mel163","1.263359e-09","2.130978e-02","1.076847e-01","1.981237e-02","1.656607e-01","7.083554e-03","1.058961e-06","6.784479e-01"
"mel039","5.238726e-02","2.356609e-02","2.700588e-01","2.331045e-01","1.339189e-01","1.993166e-02","5.195970e-09","2.670329e-01"
"mel210","9.374385e-09","1.317652e-02","1.400423e-01","1.874513e-08","1.014454e-01","1.084696e-02","3.016489e-07","7.344885e-01"
"mel171","3.255358e-06","1.726698e-02","9.178927e-02","2.164964e-08","7.079550e-02","1.171638e-02","3.248969e-10","8.084286e-01"
"mel175","7.107313e-09","2.768827e-02","1.033065e-01","1.209088e-07","1.427490e-01","1.018782e-02","5.506259e-06","7.160628e-01"
"mel319","4.946369e-02","1.608398e-02","2.174126e-01","1.295676e-01","1.201380e-01","1.554099e-02","3.718561e-10","4.517931e-01"
"mel157","5.580452e-02","1.835141e-02","2.916002e-01","1.558920e-01","1.322856e-01","1.600281e-02","6.528646e-10","3.300634e-01"
"mel008","6.441514e-09","2.713405e-02","1.226063e-01","9.065620e-08","1.641146e-01","1.222762e-02","1.514377e-08","6.739173e-01"
"mel046","7.194917e-02","2.816768e-02","3.219572e-01","3.173301e-02","2.182518e-01","1.436037e-02","3.025337e-10","3.135807e-01"
"mel427","3.552185e-02","2.635421e-02","2.916700e-01","8.327007e-02","1.729597e-01","1.603501e-02","8.010523e-11","3.741891e-01"
"mel036","2.550470e-02","2.263452e-02","2.304497e-01","6.684847e-02","1.547142e-01","1.353404e-02","2.968174e-10","4.863144e-01"
"mel122","3.137421e-07","3.015989e-02","2.555146e-01","1.777793e-02","1.936391e-01","1.636759e-02","2.439126e-09","4.865406e-01"
"mel213","4.917477e-02","2.839778e-02","2.925096e-01","1.093307e-01","1.742666e-01","1.660547e-02","2.009451e-09","3.297150e-01"
