"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000004660","brown","ENSG00000004660","CAMKK1","84254",598.423695557919,158.85484547556,439.568850082359,-280.714004606799
"ENSG00000004700","turquoise","ENSG00000004700","RECQL","5965",1111.37202767707,635.460138800492,475.911888876583,159.548249923909
"ENSG00000004766","turquoise","ENSG00000004766","VPS50","55610",1075.65909502305,591.738587454218,483.920507568828,107.818079885389
"ENSG00000004776","black","ENSG00000004776","HSPB6","126393",554.585612761068,33.1723968591451,521.413215901923,-488.240819042778
"ENSG00000004777","blue","ENSG00000004777","ARHGAP33","115703",627.782324420112,181.289158731764,446.493165688348,-265.204006956583
"ENSG00000004779","brown","ENSG00000004779","NDUFAB1","4706",613.90602812756,174.954900173352,438.951127954208,-263.996227780856
"ENSG00000004799","grey","ENSG00000004799","PDK4","5166",625.06441888444,NA,NA,NA
"ENSG00000004809","grey","ENSG00000004809","SLC22A16","85413",602.428302842525,NA,NA,NA
"ENSG00000004838","brown","ENSG00000004838","ZMYND10","51364",557.421277593188,142.79092732796,414.630350265228,-271.839422937268
"ENSG00000004846","greenyellow","ENSG00000004846","ABCB5","340273",593.295438197215,46.6141045657403,546.681333631475,-500.067229065735
"ENSG00000004848","grey","ENSG00000004848","ARX","170302",502.814149770365,NA,NA,NA
"ENSG00000004864","greenyellow","ENSG00000004864","SLC25A13","10165",643.348272932748,39.0321449159093,604.316128016839,-565.283983100929
"ENSG00000004866","greenyellow","ENSG00000004866","ST7","7982",658.368876715796,40.1217019582133,618.247174757583,-578.125472799369
"ENSG00000004897","turquoise","ENSG00000004897","CDC27","996",947.101808625512,522.027451394717,425.074357230795,96.9530941639225
"ENSG00000004939","grey","ENSG00000004939","SLC4A1","6521",531.642369082997,NA,NA,NA
"ENSG00000004948","grey","ENSG00000004948","CALCR","799",578.368135400117,NA,NA,NA
"ENSG00000004961","grey","ENSG00000004961","HCCS","3052",548.550669948092,NA,NA,NA
"ENSG00000004975","brown","ENSG00000004975","DVL2","1856",662.958979047816,253.428769496629,409.530209551187,-156.101440054559
"ENSG00000005001","red","ENSG00000005001","PRSS22","64063",665.443302018137,115.635762883568,549.807539134569,-434.171776251
"ENSG00000005007","brown","ENSG00000005007","UPF1","5976",704.444083613619,287.635971121884,416.808112491735,-129.172141369851
"ENSG00000005020","turquoise","ENSG00000005020","SKAP2","8935",777.181096885958,328.732008872497,448.449088013461,-119.717079140965
"ENSG00000005022","greenyellow","ENSG00000005022","SLC25A5","292",568.382409415695,27.452364907616,540.930044508079,-513.477679600463
"ENSG00000005059","yellow","ENSG00000005059","MCUB","55013",828.136901007988,296.464355465653,531.672545542335,-235.208190076683
"ENSG00000005073","grey","ENSG00000005073","HOXA11","3207",533.107791915964,NA,NA,NA
"ENSG00000005075","brown","ENSG00000005075","POLR2J","5439",853.416696918513,378.414054437871,475.002642480642,-96.5885880427708
