"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"mel133","0.051435747","0.015020599","0.010116464","0.294502668","0.000000000","0.059182392","0.000000000","0.007984904","0.046806119","0.000000000","0.514951107"
"mel106","0.009857019","0.034054243","0.000000000","0.108987623","0.128224121","0.026454626","0.000000000","0.000000000","0.079620972","0.000000000","0.612801396"
"mel413","0.02293454","0.02024994","0.00000000","0.40434727","0.00000000","0.07874363","0.00000000","0.00219518","0.02001557","0.00000000","0.45151387"
"mel181","0.022840484","0.048093302","0.024638237","0.000000000","0.223560007","0.007801167","0.000000000","0.056286652","0.049623706","0.042903819","0.524252626"
"mel420","5.178397e-02","0.000000e+00","6.188995e-05","1.915888e-01","1.989939e-02","3.407915e-02","4.506255e-02","7.698094e-02","1.326148e-02","0.000000e+00","5.672818e-01"
"mel407","0.021149561","0.003899902","0.011414716","0.191674517","0.000000000","0.030438937","0.111273415","0.000000000","0.013613542","0.017713163","0.598822248"
"mel339","0.08382365","0.01391149","0.00000000","0.30421733","0.00000000","0.05769461","0.01648601","0.08755933","0.06545261","0.00000000","0.37085496"
"mel414","0.010122684","0.002100679","0.000000000","0.149956143","0.000000000","0.084355335","0.000000000","0.014841574","0.000000000","0.104854809","0.633768775"
"mel442","0.012143289","0.000000000","0.004155445","0.241863775","0.000000000","0.050832335","0.000000000","0.076833632","0.023676229","0.000000000","0.590495295"
"mel214","0.015799502","0.000000000","0.000000000","0.240942252","0.000000000","0.064794279","0.002742681","0.008259703","0.024054935","0.000000000","0.643406650"
"mel121","0.06850285","0.00000000","0.00000000","0.35758413","0.00000000","0.07623024","0.00000000","0.01094864","0.04302830","0.00000000","0.44370584"
"mel434","0.023552167","0.014634544","0.019091345","0.250386919","0.000000000","0.046784548","0.048238681","0.005598084","0.022702175","0.000000000","0.569011535"
"mel114","0.01754693","0.00000000","0.00000000","0.35577331","0.00000000","0.08234724","0.00000000","0.00000000","0.02781882","0.00000000","0.51651370"
"mel368","0.05191870","0.06710227","0.00000000","0.27484572","0.00000000","0.07296499","0.00000000","0.13359616","0.06462465","0.00000000","0.33494752"
"mel145","0.010024948","0.003084990","0.016674423","0.043279961","0.091677553","0.012362656","0.041852883","0.007789684","0.010880664","0.000000000","0.762372236"
"mel017","0.015563166","0.003369284","0.000000000","0.330161900","0.000000000","0.052724999","0.046550536","0.000000000","0.029903720","0.000000000","0.521726397"
"mel038","0.02751949","0.00000000","0.00000000","0.10369893","0.08033730","0.01946104","0.05604268","0.00000000","0.02577415","0.01975726","0.66740916"
"mel315","0.01152133","0.00000000","0.00000000","0.33020762","0.00000000","0.05397848","0.11598881","0.00000000","0.01216730","0.00000000","0.47613647"
"mel222","0.03297213","0.00000000","0.00000000","0.59074481","0.00000000","0.08780938","0.00000000","0.00000000","0.00000000","0.00000000","0.28847369"
"mel288","0.0065190387","0.0000000000","0.0055697250","0.1303782708","0.0269543615","0.0164188754","0.0134971789","0.0000000000","0.0007780453","0.0000000000","0.7998845043"
"mel049","0.059885831","0.000000000","0.000000000","0.287061876","0.000000000","0.066225740","0.133388942","0.001088832","0.025309803","0.017524213","0.409514764"
"mel220","0.04952819","0.01952420","0.00000000","0.18990251","0.00000000","0.03019647","0.07406839","0.05093573","0.03483877","0.01058405","0.54042169"
"mel415","0.03591596","0.00000000","0.00000000","0.21221817","0.00000000","0.05840020","0.01006794","0.04634980","0.04391666","0.00000000","0.59313127"
"mel185","0.0232340912","0.1522406661","0.0200007593","0.2020183766","0.0000000000","0.0430387475","0.0000000000","0.0006794634","0.0415334044","0.0000000000","0.5172544915"
"mel261","0.008429597","0.000000000","0.000000000","0.652947852","0.000000000","0.116061226","0.000000000","0.000000000","0.015340379","0.000000000","0.207220945"
"mel021","0.40988475","0.01785195","0.03983035","0.00000000","0.00000000","0.01933634","0.36910438","0.07236290","0.05985395","0.01177538","0.00000000"
"mel028","0.12513520","0.01893472","0.04967023","0.02215415","0.02137297","0.00277677","0.26573184","0.05707422","0.07083695","0.04094347","0.32536947"
"mel130","0.018256655","0.010885535","0.010866156","0.044856431","0.008382005","0.017386882","0.036530431","0.001415122","0.016052435","0.090533744","0.744834603"
"mel235","0.010089075","0.000000000","0.000000000","0.600768405","0.000000000","0.090364115","0.000000000","0.000000000","0.001763739","0.000000000","0.297014667"
"mel082","0.02456563","0.01006873","0.00000000","0.31269238","0.00000000","0.05400760","0.05255283","0.07420703","0.02612217","0.00000000","0.44578363"
"mel091","0.019555799","0.058268531","0.010473764","0.094910008","0.192215939","0.028329182","0.001056331","0.020059711","0.034627179","0.000000000","0.540503558"
