"","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel123","2.378215e-08","1.370917e-02","5.435836e-02","1.414536e-06","1.262048e-01","1.015203e-02","1.054221e-05","7.955636e-01"
"mel168","1.549454e-02","2.073489e-02","2.411228e-01","5.551123e-02","1.397471e-01","1.023438e-02","9.697998e-10","5.171550e-01"
"mel108","7.004994e-02","2.282827e-02","2.346681e-01","4.785496e-02","1.442436e-01","1.118453e-02","1.011287e-08","4.691706e-01"
"mel110","9.611641e-03","1.702932e-02","2.106900e-02","7.113147e-09","8.323812e-02","1.073888e-03","1.332104e-10","8.679780e-01"
"mel078","6.644731e-02","1.602736e-02","2.761773e-01","1.156415e-01","1.237927e-01","1.122603e-02","5.575402e-09","3.906877e-01"
"mel200","2.733537e-02","2.414253e-02","2.671435e-01","1.841450e-01","1.619562e-01","1.761300e-02","4.128026e-10","3.176643e-01"
"mel079","1.916263e-03","2.197251e-02","1.738468e-01","1.210915e-07","1.389479e-01","9.438163e-03","1.078028e-08","6.538782e-01"
"mel203","5.195362e-03","2.439513e-02","2.003033e-01","1.176717e-07","1.609902e-01","1.019908e-02","4.470034e-11","5.989167e-01"
"mel360","8.062609e-03","3.254587e-02","2.522342e-01","7.842437e-02","1.706915e-01","1.336413e-02","1.487929e-09","4.446773e-01"
"mel333","3.905299e-03","2.925937e-02","7.909444e-02","2.720374e-09","1.654982e-01","1.083381e-02","1.236818e-09","7.114089e-01"
"mel115","6.434682e-09","3.137727e-02","1.765399e-01","8.474647e-08","1.892383e-01","9.257580e-03","1.053816e-03","5.925331e-01"
"mel303","4.288007e-02","2.342068e-02","2.632631e-01","7.659453e-02","1.594773e-01","1.652353e-02","7.915535e-10","4.178409e-01"
"mel371","6.464512e-02","3.617311e-02","3.280656e-01","1.070992e-01","2.336227e-01","1.566207e-02","5.343497e-10","2.147323e-01"
"mel255","8.390030e-02","2.772305e-02","2.797068e-01","1.204132e-01","2.054468e-01","1.527930e-02","2.811669e-10","2.675305e-01"
"mel392","7.524602e-02","1.711610e-02","2.832711e-01","6.609606e-02","1.245573e-01","1.265071e-02","1.287134e-10","4.210627e-01"
"mel135","1.350510e-02","2.653300e-02","2.178226e-01","1.246150e-06","1.648718e-01","1.228507e-02","1.272985e-10","5.649812e-01"
"mel282","7.264067e-02","1.656462e-02","2.572070e-01","1.417278e-01","1.051402e-01","1.387516e-02","2.386795e-09","3.928445e-01"
"mel249","8.669492e-03","2.410738e-02","1.927411e-01","2.689533e-02","1.349942e-01","1.068504e-02","1.224320e-11","6.019075e-01"
"mel318","4.203032e-02","2.339416e-02","2.512383e-01","1.374135e-01","9.262221e-02","1.519345e-02","4.069289e-10","4.381081e-01"
"mel435","2.020601e-02","3.286144e-02","3.329228e-01","9.001088e-08","2.124962e-01","1.630724e-02","9.918734e-11","3.852063e-01"
"mel405","6.172996e-02","3.160884e-02","2.513667e-01","1.574216e-01","2.004596e-01","1.664278e-02","8.624175e-10","2.807705e-01"
"mel127","5.470141e-02","2.791917e-02","2.713833e-01","1.731306e-01","1.282709e-01","1.661232e-02","1.003741e-09","3.279823e-01"
"mel101","6.385843e-02","2.050092e-02","2.252599e-01","1.363320e-01","1.328695e-01","1.399797e-02","1.103189e-09","4.071813e-01"
"mel137","7.906244e-03","1.959347e-02","2.141709e-01","1.256523e-01","1.582207e-01","1.833810e-02","8.668504e-11","4.561183e-01"
"mel085","1.342154e-01","2.119294e-02","4.274752e-01","1.582061e-01","2.048443e-01","1.389485e-02","1.887946e-10","4.017124e-02"
"mel129","9.890700e-02","2.068352e-02","3.222597e-01","1.287544e-01","1.597000e-01","1.076523e-02","4.068167e-08","2.589301e-01"
"mel379","1.912550e-06","2.271074e-02","1.620669e-01","6.650908e-02","1.623477e-01","1.330986e-02","3.866924e-09","5.730538e-01"
"mel073","1.978516e-02","2.552927e-02","2.144023e-01","7.212112e-03","1.635656e-01","1.185207e-02","1.870507e-10","5.576535e-01"
"mel452","3.614768e-10","2.099500e-02","1.650310e-01","1.126903e-06","1.513608e-01","1.074811e-02","1.270638e-06","6.518626e-01"
"mel317","2.390062e-03","2.812807e-02","2.363233e-01","2.114552e-02","1.688808e-01","1.365337e-02","1.272717e-10","5.294788e-01"
"mel099","1.059467e-09","2.577039e-02","3.270764e-02","1.215118e-05","1.213747e-01","4.625265e-03","3.724847e-06","8.155061e-01"
"mel119","4.938024e-03","2.353624e-02","2.369816e-01","5.140140e-02","1.641713e-01","1.090765e-02","1.334116e-09","5.080638e-01"
"mel156","1.001841e-01","2.054755e-02","3.574680e-01","9.602669e-02","1.862367e-01","1.306473e-02","3.851280e-10","2.264722e-01"
"mel274","2.930981e-02","9.773668e-03","2.303038e-01","1.640318e-01","8.885956e-02","1.395486e-02","2.959388e-09","4.637666e-01"
"mel113","1.510850e-09","2.124151e-02","2.586580e-01","1.111549e-01","1.510295e-01","1.665090e-02","1.229559e-09","4.412652e-01"
"mel372","1.046895e-03","1.330112e-02","2.716767e-01","8.879694e-03","1.242703e-01","1.789365e-02","2.655514e-10","5.629316e-01"
"mel431","7.915194e-02","1.806671e-02","3.165086e-01","7.387936e-02","1.545929e-01","1.002856e-02","6.321050e-10","3.477719e-01"
"mel361","6.611261e-02","2.611638e-02","2.947619e-01","2.358342e-01","1.502888e-01","1.838968e-02","7.577454e-10","2.084964e-01"
"mel322","3.569078e-02","2.502611e-02","3.124714e-01","1.475929e-01","1.426204e-01","1.662501e-02","8.810980e-10","3.199735e-01"
"mel263","6.225929e-02","2.478094e-02","2.621132e-01","5.896922e-02","1.338538e-01","1.316867e-02","1.638557e-08","4.448548e-01"
"mel003","8.820742e-02","2.659056e-02","3.876589e-01","1.987352e-01","1.976600e-01","1.494856e-02","1.998165e-11","8.619936e-02"
"mel337","2.751346e-02","1.760881e-02","2.429300e-01","5.331017e-02","1.174228e-01","1.761145e-02","2.796493e-10","5.236032e-01"
"mel006","9.740836e-02","2.542267e-02","3.451701e-01","1.376881e-01","1.973648e-01","1.373055e-02","2.764150e-10","1.832154e-01"
"mel258","8.271462e-02","1.648623e-02","2.712605e-01","1.078801e-01","1.458536e-01","1.360490e-02","8.833255e-10","3.622001e-01"
"mel109","1.129102e-07","2.380804e-02","2.439793e-01","9.588873e-02","1.403661e-01","1.726444e-02","2.983305e-10","4.786933e-01"
"mel236","8.746869e-02","2.244793e-02","2.909409e-01","1.707144e-01","1.698992e-01","1.482328e-02","2.871697e-10","2.437056e-01"
"mel404","2.628519e-02","2.222655e-02","2.394093e-01","1.443396e-01","1.220530e-01","1.776995e-02","7.235874e-10","4.279164e-01"
"mel276","4.389349e-02","1.430267e-02","2.674508e-01","1.186189e-01","1.146541e-01","1.575246e-02","5.311877e-08","4.253274e-01"
"mel045","2.354313e-02","1.546049e-02","2.339689e-01","9.340478e-07","1.501773e-01","1.314562e-02","1.075589e-09","5.637036e-01"
"mel050","5.045267e-02","1.910994e-02","2.403339e-01","1.338457e-01","1.105204e-01","1.609006e-02","1.550540e-10","4.296474e-01"
"mel394","2.191207e-08","1.769359e-02","1.784921e-01","9.904598e-02","1.424068e-01","1.545166e-02","5.242694e-11","5.469098e-01"
"mel244","7.264459e-03","2.750710e-02","2.213319e-01","2.878776e-02","1.855763e-01","1.120442e-02","3.552066e-11","5.183280e-01"
"mel007","8.987569e-02","2.573674e-02","3.588735e-01","1.516818e-01","1.500251e-01","1.619837e-02","1.152357e-12","2.076088e-01"
"mel385","2.748696e-02","1.160664e-02","1.465961e-01","7.047387e-02","1.041393e-01","1.397376e-02","4.533170e-09","6.257234e-01"
"mel437","1.137632e-02","1.474593e-02","1.717284e-01","2.813641e-02","9.794764e-02","8.319098e-03","5.011631e-11","6.677462e-01"
"mel335","3.108738e-02","3.063436e-02","2.524553e-01","1.376017e-01","1.434295e-01","1.759589e-02","5.270515e-09","3.871959e-01"
"mel128","8.403502e-02","2.112866e-02","2.983269e-01","9.259612e-02","1.430840e-01","1.255775e-02","2.185214e-09","3.482715e-01"
"mel340","1.858924e-02","2.159012e-02","2.662172e-01","1.053950e-02","1.814082e-01","1.985598e-02","2.553755e-10","4.817997e-01"
"mel170","4.180117e-02","1.334031e-02","2.245048e-01","1.015254e-01","9.938390e-02","1.512875e-02","2.416644e-10","5.043157e-01"
"mel023","6.253102e-09","1.380816e-02","1.190543e-02","2.933350e-08","1.111030e-01","7.902235e-03","9.099637e-07","8.552803e-01"
"mel178","4.253123e-02","1.574146e-02","2.270905e-01","1.191321e-01","1.060799e-01","1.586347e-02","6.367026e-08","4.735614e-01"
"mel313","2.018463e-10","2.707000e-02","2.052925e-01","8.976112e-02","1.488047e-01","1.548392e-02","2.882992e-09","5.135878e-01"
"mel207","1.766837e-10","1.981608e-02","1.010561e-01","4.746217e-02","9.425961e-02","9.892847e-03","1.110437e-08","7.275131e-01"
"mel138","1.791251e-02","1.866024e-02","1.782988e-01","2.505621e-07","1.415511e-01","1.174523e-02","4.139322e-10","6.318319e-01"
"mel100","3.142320e-02","3.041016e-02","2.154641e-01","4.118472e-02","1.680423e-01","1.188284e-02","4.516088e-10","5.015926e-01"
"mel352","2.096600e-10","2.961127e-02","2.303159e-01","2.531975e-02","1.234236e-01","1.346096e-02","1.299833e-04","5.777386e-01"
"mel002","4.615041e-02","2.616430e-02","2.241667e-01","1.201719e-01","1.560724e-01","1.458299e-02","2.739297e-10","4.126913e-01"
"mel386","9.043914e-10","2.010047e-02","1.354385e-01","5.969379e-02","1.077626e-01","9.529093e-03","9.425352e-08","6.674754e-01"
"mel331","1.329724e-09","1.299027e-02","6.395377e-02","1.649814e-08","7.863008e-02","6.926387e-03","1.785566e-04","8.373209e-01"
"mel406","3.930259e-02","2.654871e-02","2.459720e-01","1.221687e-01","7.316161e-02","1.386314e-02","1.006889e-07","4.789832e-01"
"mel030","1.484092e-05","2.810406e-02","2.736447e-01","1.257858e-07","1.555868e-01","1.631620e-02","5.012078e-10","5.263332e-01"
"mel179","1.049261e-01","1.786443e-02","3.676861e-01","1.474457e-01","1.541355e-01","1.627023e-02","2.224400e-08","1.916720e-01"
"mel139","6.866692e-02","2.987632e-02","2.634736e-01","1.879928e-01","1.887529e-01","1.582745e-02","3.391169e-10","2.454100e-01"
"mel272","8.811856e-02","2.711767e-02","3.238810e-01","1.765165e-01","1.926738e-01","1.773589e-02","1.430031e-09","1.739565e-01"
"mel311","2.219692e-09","1.862843e-02","2.848072e-01","8.566953e-03","1.169525e-01","1.604232e-02","5.439722e-07","5.550020e-01"
"mel070","2.258972e-02","2.784078e-02","2.518636e-01","1.387767e-01","1.716415e-01","1.373053e-02","4.985788e-10","3.735571e-01"
"mel173","1.095981e-02","2.385183e-02","2.854562e-01","1.292182e-08","1.391097e-01","9.832133e-03","1.767710e-08","5.307902e-01"
"mel387","2.712013e-05","2.379652e-02","2.492019e-01","1.242248e-01","1.319357e-01","1.926692e-02","1.016147e-09","4.515470e-01"
"mel001","9.968988e-02","2.129476e-02","3.183081e-01","1.492258e-01","1.666160e-01","1.558782e-02","1.107700e-09","2.292776e-01"
"mel390","2.999463e-02","2.978857e-02","3.292691e-01","1.564333e-01","2.151616e-01","1.781256e-02","1.736759e-09","2.215402e-01"
"mel033","3.606458e-07","2.621212e-02","1.765079e-01","5.225111e-08","1.462221e-01","1.108441e-02","2.338951e-09","6.399731e-01"
"mel323","3.516176e-02","2.991383e-02","2.352629e-01","7.337864e-02","1.753228e-01","1.429172e-02","1.682514e-10","4.366684e-01"
"mel290","1.551236e-02","2.406882e-02","2.271523e-01","1.827545e-06","1.284900e-01","1.200158e-02","1.328264e-09","5.927732e-01"
"mel151","7.221855e-11","2.990954e-02","1.935933e-01","2.148715e-02","1.763439e-01","1.561253e-02","1.546171e-07","5.630533e-01"
"mel193","5.047460e-09","2.351511e-02","2.214288e-01","4.282893e-02","1.349276e-01","1.103594e-02","1.450225e-06","5.662622e-01"
"mel430","1.880537e-09","2.868705e-02","2.464777e-01","1.495051e-01","1.452409e-01","1.547337e-02","8.660790e-07","4.146151e-01"
"mel455","6.098680e-02","3.223936e-02","2.645202e-01","1.207097e-01","2.014459e-01","2.152780e-02","1.722042e-09","2.985702e-01"
"mel449","6.606863e-09","2.743165e-02","5.445341e-02","1.068026e-08","1.071759e-01","6.684506e-03","8.677064e-07","8.042537e-01"
"mel465","1.110200e-02","2.157117e-02","2.795434e-01","2.270011e-02","1.761666e-01","1.612114e-02","4.464256e-09","4.727956e-01"
"mel345","1.273248e-01","2.196455e-02","4.355709e-01","1.150725e-01","1.896143e-01","1.393739e-02","3.087276e-10","9.651565e-02"
"mel469","3.639259e-04","2.562649e-02","2.665740e-01","1.196180e-01","1.632056e-01","1.532887e-02","4.740601e-09","4.092832e-01"
"mel467","1.654762e-06","2.799599e-02","2.231305e-01","1.628293e-02","1.852100e-01","1.724890e-02","6.329115e-10","5.301301e-01"
"mel460","6.164373e-03","2.080234e-02","1.284223e-01","6.156450e-02","1.002861e-01","1.358493e-02","2.904184e-11","6.691754e-01"
"mel042","4.258510e-08","1.143904e-02","3.294286e-02","1.593567e-08","1.615356e-01","5.309793e-03","5.452793e-04","7.882273e-01"
"mel027","6.709012e-02","2.750535e-02","2.293050e-01","1.221100e-01","1.345207e-01","1.312693e-02","3.113896e-09","4.063418e-01"
"mel456","6.573080e-02","1.363703e-02","2.146617e-01","1.260015e-01","1.531190e-01","1.232271e-02","2.282147e-10","4.145272e-01"
"mel468","3.923549e-03","2.317187e-02","2.958952e-01","1.666157e-01","1.074045e-01","1.579472e-02","3.723689e-11","3.871944e-01"
"mel462","3.145198e-02","2.499006e-02","2.766804e-01","2.056344e-01","1.718613e-01","1.629050e-02","2.873819e-11","2.730914e-01"
"mel059","5.515160e-02","2.731646e-02","2.427970e-01","3.265980e-08","1.374346e-01","1.574980e-02","8.183038e-10","5.215505e-01"
"mel087","1.225996e-02","1.831668e-02","1.544341e-01","7.601803e-02","1.460849e-01","1.121928e-02","2.445070e-08","5.816670e-01"
"mel120","5.981023e-10","2.594508e-02","1.730253e-01","2.835060e-02","1.300202e-01","1.459808e-02","5.146924e-04","6.275460e-01"
"mel019","1.019852e-02","1.897048e-02","1.839597e-01","1.259313e-08","1.408514e-01","1.132184e-02","2.120444e-09","6.346980e-01"
"mel334","4.583802e-02","2.237972e-02","2.687946e-01","1.572857e-01","1.806716e-01","1.797487e-02","2.579439e-09","3.070554e-01"
"mel190","2.710891e-10","2.257083e-02","2.059100e-01","1.406226e-09","1.650208e-01","1.333242e-02","1.827704e-06","5.931641e-01"
"mel426","5.093651e-03","2.288739e-02","2.093846e-01","9.810303e-02","1.018772e-01","1.337513e-02","9.698757e-10","5.492789e-01"
"mel196","2.548397e-02","1.789445e-02","2.000868e-01","1.181850e-01","9.744654e-02","1.282152e-02","7.554391e-10","5.280816e-01"
"mel009","8.851477e-03","2.252576e-02","3.075227e-01","1.916417e-01","1.017090e-01","1.805710e-02","2.210761e-09","3.496923e-01"
"mel174","4.611703e-06","3.260006e-02","2.419743e-01","1.924815e-02","1.765026e-01","1.287561e-02","2.111211e-09","5.167947e-01"
"mel389","1.920999e-05","2.367756e-02","1.377750e-01","2.166532e-08","9.991925e-02","9.997696e-03","3.600239e-10","7.286113e-01"
"mel246","1.151789e-07","2.428140e-02","2.405844e-01","1.073020e-01","1.378369e-01","1.562446e-02","3.480463e-10","4.743707e-01"
"mel219","6.573825e-02","1.910736e-02","2.804139e-01","1.515958e-01","1.255936e-01","1.507093e-02","9.255688e-11","3.424802e-01"
"mel309","1.072444e-09","2.002557e-02","9.410316e-02","5.327858e-06","9.927975e-02","1.215566e-02","2.928470e-06","7.744276e-01"
"mel285","3.045728e-02","3.146010e-02","3.132844e-01","7.902114e-02","1.777979e-01","1.703501e-02","6.673452e-10","3.509442e-01"
"mel292","8.048886e-02","2.319860e-02","3.122901e-01","2.521564e-01","9.862896e-02","1.966663e-02","4.703616e-11","2.135705e-01"
"mel232","2.458053e-02","1.527968e-02","1.720194e-01","7.432004e-02","1.302572e-01","1.290479e-02","1.434215e-09","5.706383e-01"
"mel307","1.471512e-02","1.810498e-02","1.433996e-01","5.040846e-08","1.766387e-01","1.040604e-02","9.717115e-09","6.367355e-01"
"mel098","8.591816e-02","2.210021e-02","4.076257e-01","1.107101e-01","1.659555e-01","1.532441e-02","6.118583e-10","1.923658e-01"
"mel067","3.734776e-02","2.129507e-02","2.281426e-01","8.527986e-03","1.530702e-01","1.040973e-02","3.593127e-10","5.412067e-01"
"mel400","3.812533e-03","2.855658e-02","1.838386e-01","3.779256e-04","1.732073e-01","1.596306e-02","5.113290e-11","5.942439e-01"
"mel187","5.300358e-09","3.258250e-02","8.066334e-02","7.280874e-08","1.936029e-01","1.065430e-02","1.057219e-05","6.824863e-01"
"mel024","2.887374e-02","1.890972e-02","2.449380e-01","1.418240e-01","1.582349e-01","1.525235e-02","6.520882e-10","3.919673e-01"
"mel083","1.861642e-09","2.517333e-02","2.060058e-01","6.108034e-08","1.406252e-01","9.076639e-03","5.864749e-06","6.191131e-01"
"mel155","9.569021e-02","2.455687e-02","3.713023e-01","1.021008e-01","1.673933e-01","1.377539e-02","4.908710e-10","2.251811e-01"
"mel286","3.091911e-03","3.068752e-02","2.176372e-01","6.904523e-03","2.052044e-01","1.404442e-02","8.008745e-10","5.224300e-01"
"mel316","3.457798e-02","2.238895e-02","1.983339e-01","5.725029e-02","1.379946e-01","1.159226e-02","8.245344e-10","5.378620e-01"
"mel423","6.308651e-03","2.900799e-02","2.725226e-01","2.766040e-02","1.931072e-01","1.452098e-02","6.051492e-10","4.568722e-01"
"mel209","1.004360e-06","2.532763e-02","2.110207e-01","1.297166e-07","1.092497e-01","1.155510e-02","4.733675e-03","6.381121e-01"
"mel446","2.355473e-04","2.739783e-02","1.228875e-01","2.690901e-07","1.368912e-01","9.286814e-03","9.371394e-10","7.033009e-01"
"mel086","1.714688e-05","3.095114e-02","1.323417e-01","1.757086e-02","1.889462e-01","1.047047e-02","5.240806e-11","6.197025e-01"
"mel195","1.096843e-03","1.605252e-02","1.085208e-01","4.849770e-08","1.137466e-01","9.441703e-03","2.274856e-09","7.511415e-01"
"mel090","5.887766e-02","2.688070e-02","2.852921e-01","1.003991e-01","1.719028e-01","1.591089e-02","2.783137e-07","3.407365e-01"
"mel445","1.571283e-02","1.837403e-02","1.790096e-01","5.784355e-02","1.219860e-01","1.164312e-02","1.481736e-09","5.954308e-01"
"mel296","1.121640e-09","2.331312e-02","8.750189e-02","1.025504e-07","1.244078e-01","7.092513e-03","1.772583e-06","7.576828e-01"
"mel094","2.082548e-10","2.667811e-02","2.065746e-01","1.244000e-01","1.543369e-01","1.607717e-02","5.960287e-05","4.718737e-01"
"mel233","1.147761e-09","1.791656e-02","1.754205e-01","7.931682e-09","9.964518e-02","1.007359e-02","6.286867e-10","6.969442e-01"
"mel349","5.508188e-02","2.479135e-02","3.006707e-01","7.267459e-02","1.934307e-01","1.378364e-02","4.209163e-09","3.395672e-01"
"mel095","7.231780e-09","2.589276e-02","2.244214e-01","4.357341e-02","1.506968e-01","9.138455e-03","1.819316e-10","5.462772e-01"
"mel463","5.045436e-08","2.959644e-02","2.642795e-01","9.166431e-08","1.542482e-01","1.435456e-02","5.783705e-08","5.375211e-01"
"mel043","6.264509e-02","2.294605e-02","3.040039e-01","1.223827e-01","1.509213e-01","1.474850e-02","1.026969e-09","3.223524e-01"
"mel041","1.001832e-06","1.993877e-02","2.858321e-02","2.722600e-09","1.812276e-01","1.560753e-02","4.722056e-09","7.546419e-01"
"mel081","8.626935e-02","1.958935e-02","2.679480e-01","1.321291e-01","1.123087e-01","1.502125e-02","4.059277e-10","3.667342e-01"
"mel453","5.586281e-08","2.221547e-02","5.254394e-02","2.469733e-08","1.844848e-01","9.174153e-03","4.212738e-09","7.315815e-01"
"mel061","3.345352e-09","1.832608e-02","1.299090e-01","1.812751e-06","1.223430e-01","7.206393e-03","4.124054e-09","7.222137e-01"
"mel470","2.309377e-09","1.826736e-02","5.207047e-02","5.356345e-09","1.201818e-01","6.130273e-03","1.296376e-05","8.033371e-01"
"mel388","6.767616e-03","2.107321e-02","1.884961e-01","1.415564e-07","1.480542e-01","1.595464e-02","1.572650e-11","6.196541e-01"
"mel454","6.346783e-10","3.035465e-02","1.955891e-01","8.949143e-02","2.018068e-01","1.434792e-02","7.327760e-09","4.684101e-01"
"mel167","2.693224e-09","2.528877e-02","8.583634e-02","1.242490e-06","1.509491e-01","1.043218e-02","1.473397e-06","7.274909e-01"
"mel312","8.760085e-02","2.321037e-02","3.745771e-01","1.409881e-01","2.468647e-01","1.235830e-02","1.176520e-10","1.144006e-01"
"mel293","1.498574e-06","1.771466e-02","1.281686e-01","6.650090e-07","1.710141e-01","9.236761e-03","1.534501e-06","6.738622e-01"
"mel419","1.502577e-05","2.710226e-02","1.007198e-01","3.545861e-07","1.548619e-01","8.184967e-03","5.896909e-10","7.091157e-01"
"mel111","1.458601e-08","2.613775e-02","2.090079e-01","4.004655e-02","1.519715e-01","9.205316e-03","8.354110e-10","5.636310e-01"
"mel365","2.317606e-02","2.792230e-02","1.551459e-01","8.089249e-02","1.916046e-01","1.225095e-02","8.764092e-09","5.090077e-01"
"mel391","1.363239e-02","1.484452e-02","1.629696e-01","2.960890e-02","1.064974e-01","8.901469e-03","2.203373e-10","6.635457e-01"
"mel088","5.882852e-02","2.818001e-02","2.677613e-01","1.805148e-02","1.617815e-01","1.039471e-02","3.964396e-10","4.550025e-01"
"mel295","6.148666e-02","2.233632e-02","2.337762e-01","7.277623e-02","1.367855e-01","1.222785e-02","6.523411e-09","4.606113e-01"
"mel234","3.293066e-03","1.797264e-02","1.800415e-01","4.926263e-08","1.140770e-01","9.782931e-03","4.098581e-08","6.748328e-01"
"mel241","1.072117e-01","2.003867e-02","3.756194e-01","1.104180e-01","1.463166e-01","1.222858e-02","3.298944e-10","2.281671e-01"
"mel269","4.201111e-09","2.327218e-02","1.502893e-01","2.191633e-07","1.602819e-01","9.594937e-03","4.999477e-08","6.565614e-01"
"mel231","2.287636e-06","3.132323e-02","3.003109e-01","6.713568e-02","1.789973e-01","1.866360e-02","1.745509e-09","4.035670e-01"
"mel211","8.059818e-02","1.804843e-02","3.236278e-01","1.972698e-01","1.313140e-01","1.897501e-02","6.012306e-10","2.301668e-01"
"mel291","3.133774e-02","2.117114e-02","2.534314e-01","9.831516e-02","1.652152e-01","1.340569e-02","7.895471e-10","4.171236e-01"
"mel384","1.011400e-01","2.543381e-02","3.413998e-01","9.494737e-02","1.387071e-01","1.625387e-02","1.034878e-09","2.821180e-01"
"mel102","2.604052e-07","1.780339e-02","8.989647e-02","6.088784e-08","8.563518e-02","1.412747e-02","1.830132e-12","7.925372e-01"
"mel071","2.550083e-08","3.039826e-02","2.688370e-01","2.565837e-02","1.600012e-01","1.211608e-02","5.591750e-10","5.029891e-01"
"mel284","1.228694e-02","2.536909e-02","1.421971e-01","1.317664e-01","1.510463e-01","1.338035e-02","4.011976e-10","5.239539e-01"
"mel051","8.871470e-10","1.984534e-02","6.354609e-02","4.089202e-08","1.030746e-01","1.060145e-02","5.858894e-08","8.029324e-01"
"mel358","2.042008e-09","2.664006e-02","3.099123e-01","1.791247e-02","1.547568e-01","1.985721e-02","2.250232e-06","4.709189e-01"
"mel205","5.722582e-02","2.595277e-02","2.931942e-01","1.428949e-01","1.281556e-01","1.989444e-02","2.836226e-10","3.326823e-01"
"mel176","5.069459e-02","1.943133e-02","2.466917e-01","5.874873e-03","1.158617e-01","1.077101e-02","3.082133e-09","5.506748e-01"
"mel161","4.430083e-09","1.444628e-02","1.646664e-01","1.230928e-07","1.212016e-01","1.258089e-02","4.954952e-09","6.871047e-01"
"mel022","4.076887e-02","1.788868e-02","2.555070e-01","6.595556e-03","1.309959e-01","8.128277e-03","2.880781e-10","5.401156e-01"
"mel278","7.291171e-11","2.096944e-02","2.528512e-01","1.312481e-01","1.147823e-01","1.153518e-02","6.317989e-09","4.686137e-01"
"mel299","1.356886e-03","1.823771e-02","4.948560e-02","1.802453e-08","9.986929e-02","7.524443e-03","6.495025e-06","8.235196e-01"
"mel169","2.493899e-09","2.221211e-02","2.024246e-01","4.422727e-08","1.352740e-01","1.051006e-02","5.611386e-10","6.295792e-01"
"mel053","6.396263e-08","1.551728e-02","2.100367e-07","2.386112e-08","1.503360e-01","3.956401e-03","5.406036e-06","8.301846e-01"
"mel366","1.716410e-02","1.635388e-02","9.300381e-02","3.647591e-02","1.587082e-01","7.691728e-03","1.238020e-09","6.706024e-01"
"mel031","8.593691e-02","2.383495e-02","3.408222e-01","1.331111e-01","1.835063e-01","1.413378e-02","2.749091e-09","2.186547e-01"
"mel464","3.784323e-02","1.928895e-02","3.209757e-01","2.313600e-01","1.136024e-01","1.972484e-02","5.755877e-10","2.572049e-01"
"mel141","2.572756e-08","1.962491e-02","1.398062e-01","9.586802e-07","1.028927e-01","1.663537e-02","1.418004e-08","7.210398e-01"
"mel202","7.587773e-02","2.668034e-02","2.328469e-01","1.347289e-01","1.685686e-01","1.641026e-02","1.697894e-09","3.448873e-01"
"mel064","4.535775e-02","1.934712e-02","1.993212e-01","1.240287e-01","9.204455e-02","1.446048e-02","3.084080e-09","5.054402e-01"
"mel350","5.906630e-02","2.081394e-02","2.242986e-01","9.571182e-02","1.739380e-01","1.672507e-02","1.061215e-10","4.094463e-01"
"mel044","2.252479e-02","2.044961e-02","2.098163e-01","8.246716e-02","1.704248e-01","1.400799e-02","6.400351e-10","4.803094e-01"
"mel401","6.019901e-03","1.758367e-02","1.321605e-01","6.804581e-02","1.665349e-01","1.153408e-02","2.127982e-10","5.981212e-01"
"mel230","1.096617e-02","1.978730e-02","2.304845e-01","1.533565e-01","8.012058e-02","1.432552e-02","5.121638e-09","4.909594e-01"
"mel377","4.357225e-03","2.304515e-02","2.597259e-01","9.731592e-02","1.560576e-01","1.302586e-02","1.126710e-09","4.464724e-01"
"mel150","5.982504e-09","3.239196e-02","2.366029e-01","1.414492e-02","1.773354e-01","1.212517e-02","6.686500e-12","5.273997e-01"
"mel037","2.073694e-09","2.729830e-02","1.175343e-01","8.964282e-08","1.649420e-01","1.156777e-02","1.809416e-06","6.786558e-01"
"mel124","3.263686e-02","2.421117e-02","3.068398e-01","8.869019e-02","1.171390e-01","1.096503e-02","9.471654e-10","4.195179e-01"
"mel393","1.651520e-02","1.540793e-02","1.644472e-01","6.849529e-02","9.147052e-02","1.155087e-02","6.561522e-10","6.321130e-01"
"mel158","4.705608e-06","2.462774e-02","3.152364e-01","3.607021e-02","1.647051e-01","1.583889e-02","4.320168e-10","4.435170e-01"
"mel381","6.005638e-02","1.714884e-02","3.453066e-01","2.432121e-01","1.150302e-01","1.990291e-02","1.538938e-08","1.993429e-01"
"mel327","3.825567e-02","1.614075e-02","1.932914e-01","4.707754e-02","9.274740e-02","7.435052e-03","1.952763e-09","6.050522e-01"
"mel077","1.353628e-02","2.619082e-02","1.930806e-01","2.770366e-02","1.168078e-01","9.253293e-03","3.057690e-09","6.134275e-01"
"mel162","4.447115e-02","2.624418e-02","2.450945e-01","1.391890e-01","1.375590e-01","1.246291e-02","2.974655e-10","3.949793e-01"
"mel224","2.431221e-03","1.724443e-02","1.972032e-01","1.818327e-01","7.673535e-02","1.219918e-02","1.156660e-10","5.123539e-01"
"mel266","1.526915e-07","3.123839e-02","2.067265e-01","8.044732e-02","1.469082e-01","1.222517e-02","5.866180e-07","5.224537e-01"
"mel063","2.625682e-08","1.842651e-02","1.765779e-01","4.249923e-08","1.374713e-01","1.565577e-02","3.220895e-09","6.518685e-01"
"mel201","2.002968e-09","2.364481e-02","7.446371e-02","8.886762e-03","1.668630e-01","7.144531e-03","1.163898e-06","7.189960e-01"
