"","stroma score","immune score","estimate score","tumor purity"
"mel051","-1307.6362449","-1159.0568875","-2466.6931324","    0.9706433"
"mel358"," 216.9055757"," 858.7311051","1075.6366808","   0.7228502"
"mel205"," 261.6148882","1626.6151952","1888.2300834","   0.6354868"
"mel176","-1076.3346040"," -678.3550826","-1754.6896866","    0.9402546"
"mel161","-1183.6765413"," -772.1306731","-1955.8072144","    0.9498947"
"mel022","-1301.9197782"," -786.3532362","-2088.2730144","    0.9557925"
"mel278","-346.6022724"," 917.9435843"," 571.3413118","   0.7719753"
"mel299","-1394.5058125","-1188.2235032","-2582.7293158","    0.9745991"
"mel169"," -717.5952413"," -873.6679825","-1591.2632238","    0.9318172"
"mel053","-1764.8594266","-1434.4310962","-3199.2905227","    0.9908517"
"mel366"," -983.6651116"," -902.8239788","-1886.4890904","    0.9466652"
"mel031","  78.8113256","1455.1678353","1533.9791608","   0.6747595"
"mel464"," 113.5219205","2397.0272548","2510.5491754","   0.5624034"
"mel141","-1153.3259997"," -265.9791639","-1419.3051636","    0.9223605"
"mel202"," -60.0329996","1189.4340006","1129.4010011","   0.7173743"
"mel064","-803.0979203"," 571.0054784","-232.0924419","   0.8414048"
"mel350","-128.7994558"," 574.3273353"," 445.5278795","   0.7835822"
"mel044","-567.7216677","-193.7960170","-761.5176847","   0.8808199"
"mel401"," -941.4115883"," -460.1311527","-1401.5427410","    0.9213501"
"mel230","-788.3869505"," 654.1213388","-134.2656117","   0.8335582"
"mel377"," 63.7763283","530.7442258","594.5205541","  0.7698081"
"mel150","1037.8123363","-140.0073201"," 897.8050162","   0.7406396"
"mel037"," -784.0733016"," -888.8234542","-1672.8967559","    0.9360991"
"mel124","-639.1588355","  67.4317712","-571.7270643","   0.8672899"
"mel393","-1510.1240687"," -445.6427656","-1955.7668342","    0.9498929"
"mel158","-160.2683385"," 425.1502184"," 264.8818799","   0.7997793"
"mel381","-234.787519","2468.565096","2233.777577","   0.595523"
"mel327","-1352.4626777"," -750.1203078","-2102.5829856","    0.9564081"
"mel077"," -792.8681284"," -929.1632070","-1722.0313354","    0.9386116"
"mel162","-413.9963975"," 844.4984274"," 430.5020299","   0.7849506"
"mel224","-940.4407180"," 750.9801868","-189.4605311","   0.8380066"
"mel266"," -14.53657","-180.21331","-194.74988","   0.83843"
"mel063"," -678.1518059"," -644.9418737","-1323.0936796","    0.9168127"
"mel201"," -342.4930143","-1439.9514629","-1782.4444772","    0.9416339"
"mel215"," 415.2865838"," 987.7980047","1403.0845885","   0.6888146"
"mel104","-555.4058218"," 427.8251887","-127.5806331","   0.8330157"
"mel369"," -714.6438212","-1436.3678178","-2151.0116391","    0.9584599"
"mel356","-1190.7323962"," -553.0091034","-1743.7414997","    0.9397062"
"mel373","-1203.9279013"," -843.4152893","-2047.3431906","    0.9540087"
"mel332","-572.7614007"," 693.9266139"," 121.1652132","   0.8122642"
"mel362"," -616.3740360"," -509.2029779","-1125.5770139","    0.9048515"
"mel267","754.1782973"," 87.9050711","842.0833685","  0.7461104"
"mel177","-989.153658","  69.357791","-919.795867","   0.891581"
"mel105","397.3146970","449.5651840","846.8798810","  0.7456415"
"mel240"," 468.2309754","2215.6826984","2683.9136738","   0.5411817"
"mel402"," -548.0429931","-1498.6320192","-2046.6750123","    0.9539793"
"mel237","-1126.3703785"," -751.9002151","-1878.2705936","    0.9462758"
"mel055","  35.1403726","1103.7171038","1138.8574764","   0.7164066"
"mel424"," -673.9881249","-1055.7629772","-1729.7511021","    0.9390019"
"mel257","-248.6217383"," 572.3931278"," 323.7713896","   0.7945604"
"mel089"," -1.281503","215.768249","214.486746","  0.804198"
"mel418"," -975.473073","-1379.511077","-2354.984150","    0.966569"
"mel441","-548.697160","1125.151642"," 576.454482","   0.771498"
"mel223","-1294.7459177","-1149.1125322","-2443.8584499","    0.9698316"
"mel433","-453.033442"," 528.530429","  75.496987","   0.816156"
"mel057"," -960.4901662"," -499.6711160","-1460.1612822","    0.9246608"
"mel436","  41.7529812","1788.9361383","1830.6891195","   0.6419856"
