"","stroma score","immune score","estimate score","tumor purity"
"mel274","-1033.6019838","  703.1077382"," -330.4942455","    0.8491225"
"mel113","-657.5361260"," 451.8125234","-205.7236026","   0.8393068"
"mel372","-746.2708104"," 286.0957685","-460.1750419","   0.8590226"
"mel431","-158.1120287"," 144.1113734"," -14.0006553","   0.8236765"
"mel361"," 956.5165860","2452.0426309","3408.5592169","   0.4488448"
"mel322"," 426.7217527","1556.9579065","1983.6796592","   0.6246068"
"mel263","-692.3848171","-251.3555803","-943.7403974","   0.8931672"
"mel003"," 971.0122019","2522.0460793","3493.0582812","   0.4377267"
"mel337"," -861.5865107"," -204.4766578","-1066.0631685","    0.9010979"
"mel006"," 659.498997","1875.164754","2534.663751","   0.559473"
"mel258","-468.7282024","1040.2913900"," 571.5631876","   0.7719546"
"mel109","182.0218202","646.8976704","828.9194906","  0.7473956"
"mel236"," -33.9168563","1631.7322719","1597.8154156","   0.6678142"
"mel404","-53.0515344","712.6246898","659.5731555","  0.7636782"
"mel276","-533.8980445"," 292.2487028","-241.6493416","   0.8421621"
"mel045"," -711.3401725"," -445.4337212","-1156.7738937","    0.9067916"
"mel050","-516.9717865"," 736.3211120"," 219.3493255","   0.8037736"
"mel394","-368.1567299"," 428.2164290","  60.0596991","   0.8174633"
"mel244","-215.0162655","-152.2694277","-367.2856931","   0.8519627"
"mel007"," 400.003058","2044.709030","2444.712089","   0.570368"
"mel385","-540.5054992","-315.7150148","-856.2205140","   0.8873161"
"mel437","-1387.3100253"," -607.3640348","-1994.6740601","    0.9516625"
"mel335"," 390.4582465","1374.4764011","1764.9346477","   0.6493559"
"mel128","-524.9121845"," 758.5930185"," 233.6808340","   0.8025203"
"mel340"," 227.6439686"," 896.8776960","1124.5216646","   0.7178731"
"mel170","-1011.8463528","  461.5196922"," -550.3266606","    0.8657218"
"mel023","-1448.4761831","-1093.3413942","-2541.8175772","    0.9732366"
"mel178","-731.0716242"," 478.6656785","-252.4059457","   0.8430125"
"mel313","-187.3804760"," 480.9184793"," 293.5380033","   0.7972472"
"mel207","-1071.9266702","-1200.9343612","-2272.8610314","    0.9634079"
"mel138"," -492.7011152"," -940.9791986","-1433.6803137","    0.9231736"
"mel100","318.233663","-67.553917","250.679746","  0.801029"
"mel352","-518.3575049","-398.0568844","-916.4143893","   0.8913561"
"mel002","-13.1043423","502.0006308","488.8962885","  0.7796112"
"mel386","-1244.3459179","-1035.3281354","-2279.6740534","    0.9636755"
"mel331","-1335.7988212","-1450.1202145","-2785.9190358","    0.9808443"
"mel406"," 23.8081987","392.8331175","416.6413163","  0.7862095"
"mel030","354.8321309","260.5415151","615.3736460","  0.7678507"
"mel179"," 192.978325","2105.598578","2298.576903","   0.587855"
"mel139","1351.4189957","2068.6540485","3420.0730442","   0.4473339"
"mel272"," 764.1107583","2474.9249299","3239.0356881","   0.4709402"
"mel311","-1064.0215280"," -424.7665256","-1488.7880537","    0.9262528"
